Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2014,23,NWE,QB,6,0,10,9,0,2,30.0,9,0.9,1.5,1.7,0,0,0,,0,0,,,0.0,0.0,,,10,0.9,9,0,0,,Jimmy Garoppolo,GaroJi00
2015,24,NWE,QB,5,0,5,-5,0,0,0.0,-1,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,5,-1.0,-5,0,0,,Jimmy Garoppolo,GaroJi00
2016,25,NWE,QB,6,2,10,6,0,1,10.0,10,0.6,1.0,1.7,1,1,3,3.0,0,0,0.0,3,0.2,0.5,100.0,3.0,11,0.8,9,0,2,,Jimmy Garoppolo,GaroJi00
2017,26,SFO,QB,6,5,15,11,1,4,26.7,8,0.7,1.8,2.5,1,1,-6,-6.0,0,0,0.0,-6,0.2,-1.0,100.0,-6.0,16,0.3,5,1,1,,Jimmy Garoppolo,GaroJi00
2018,27,SFO,QB,3,3,8,33,0,2,62.5,13,4.1,11.0,2.7,0,0,0,,0,0,,,0.0,0.0,,,8,4.1,33,0,4,,Jimmy Garoppolo,GaroJi00
2019,28,SFO,QB,16,16,46,62,1,13,32.6,11,1.3,3.9,2.9,0,0,0,,0,0,,,0.0,0.0,,,46,1.3,62,1,10,AP CPoY-2,Jimmy Garoppolo,GaroJi00
2020,29,SFO,QB,6,6,10,25,0,3,40.0,9,2.5,4.2,1.7,0,0,0,,0,0,,,0.0,0.0,,,10,2.5,25,0,2,,Jimmy Garoppolo,GaroJi00
2021,30,SFO,QB,15,15,38,51,3,15,47.4,7,1.3,3.4,2.5,0,0,0,,0,0,,,0.0,0.0,,,38,1.3,51,3,8,,Jimmy Garoppolo,GaroJi00
2022,31,SFO,QB,11,10,23,33,2,12,47.8,6,1.4,3.0,2.1,0,0,0,,0,0,,,0.0,0.0,,,23,1.4,33,2,3,,Jimmy Garoppolo,GaroJi00
2023,32,LVR,QB,7,6,20,39,0,6,30.0,9,2.0,5.6,2.9,0,0,0,,0,0,,,0.0,0.0,,,20,2.0,39,0,1,,Jimmy Garoppolo,GaroJi00
2024,33,LAR,QB,1,1,2,5,0,0,50.0,5,2.5,5.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,2.5,5,0,0,,Jimmy Garoppolo,GaroJi00
2025,34,LAR,QB,3,0,9,-10,0,0,0.0,-1,-1.1,-3.3,3.0,0,0,0,,0,0,,,0.0,0.0,,,9,-1.1,-10,0,0,,Jimmy Garoppolo,GaroJi00
