Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2008,23,BAL,QB,16,16,100,95,99,96,97,91,103,93,97,,Joe Flacco,FlacJo00
2009,24,BAL,QB,16,16,105,103,106,105,107,101,107,95,107,,Joe Flacco,FlacJo00
2010,25,BAL,QB,16,16,106,101,110,107,106,110,112,90,111,,Joe Flacco,FlacJo00
2011,26,BAL,QB,16,16,91,94,96,98,89,93,110,107,95,,Joe Flacco,FlacJo00
2012,27,BAL,QB,16,16,101,102,105,105,96,98,114,102,103,,Joe Flacco,FlacJo00
2013,28,BAL,QB,16,16,82,82,80,80,90,85,83,93,82,,Joe Flacco,FlacJo00
2014,29,BAL,QB,16,16,100,107,103,108,99,104,107,123,104,,Joe Flacco,FlacJo00
2015,30,BAL,QB,10,10,89,96,87,91,106,87,91,118,91,,Joe Flacco,FlacJo00
2016,31,BAL,QB,16,16,83,88,87,89,109,83,102,112,92,,Joe Flacco,FlacJo00
2017,32,BAL,QB,16,16,70,77,77,81,103,87,100,112,88,,Joe Flacco,FlacJo00
2018,33,BAL,QB,9,9,86,95,92,98,91,86,113,119,92,,Joe Flacco,FlacJo00
2019,34,DEN,QB,8,8,94,87,92,87,103,76,106,81,91,,Joe Flacco,FlacJo00
2020,35,NYJ,QB,5,4,85,87,90,91,59,99,101,110,85,,Joe Flacco,FlacJo00
2022,37,NYJ,QB,5,4,62,72,75,81,68,80,116,110,76,,Joe Flacco,FlacJo00
2023,38,CLE,QB,5,5,120,125,110,115,80,129,64,122,102,AP CPoY-1,Joe Flacco,FlacJo00
2024,39,IND,QB,8,6,101,101,98,99,102,106,89,101,100,,Joe Flacco,FlacJo00
2025,40,2TM,QB,13,10,75,86,79,86,83,88,96,119,81,PB,Joe Flacco,FlacJo00
