Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2008,23,BAL,QB,16,16,11-5-0,257,428,60.0,2971,14,3.3,12,2.8,143,40.4,70,6.9,6.33,11.6,185.7,80.3,47.1,32,276,6.96,5.86,5.29,1,1,12,,Joe Flacco,FlacJo00
2009,24,BAL,QB,16,16,9-7-0,315,499,63.1,3613,21,4.2,12,2.4,184,46.4,72,7.2,7.00,11.5,225.8,88.9,58.5,36,218,6.73,6.35,6.12,1,2,13,,Joe Flacco,FlacJo00
2010,25,BAL,QB,16,16,12-4-0,306,489,62.6,3622,25,5.1,10,2.0,174,44.0,67,7.4,7.51,11.8,226.4,93.6,59.1,40,294,7.56,6.29,6.39,2,4,12,,Joe Flacco,FlacJo00
2011,26,BAL,QB,16,16,12-4-0,312,542,57.6,3610,20,3.7,12,2.2,180,42.1,74,6.7,6.40,11.6,225.6,80.9,63.7,31,203,5.41,5.95,5.70,2,3,12,,Joe Flacco,FlacJo00
2012,27,BAL,QB,16,16,10-6-0,317,531,59.7,3817,22,4.1,10,1.9,178,43.1,61,7.2,7.17,12.0,238.6,87.7,51.1,35,227,6.18,6.34,6.33,3,3,13,,Joe Flacco,FlacJo00
2013,28,BAL,QB,16,16,8-8-0,362,614,59.0,3912,19,3.1,22,3.6,191,38.5,74,6.4,5.38,10.8,244.5,73.1,48.0,48,324,7.25,5.42,4.50,2,4,8,,Joe Flacco,FlacJo00
2014,29,BAL,QB,16,16,10-6-0,344,554,62.1,3986,27,4.9,12,2.2,194,47.8,80,7.2,7.19,11.6,249.1,91.0,68.6,19,167,3.32,6.66,6.66,2,2,13,,Joe Flacco,FlacJo00
2015,30,BAL,QB,10,10,3-7-0,266,413,64.4,2791,14,3.4,12,2.9,125,45.7,50,6.8,6.13,10.5,279.1,83.1,50.8,16,124,3.73,6.22,5.61,3,3,5,,Joe Flacco,FlacJo00
2016,31,BAL,QB,16,16,8-8-0,436,672,64.9,4317,20,3.0,15,2.2,204,43.0,95,6.4,6.01,9.9,269.8,83.5,52.5,33,243,4.68,5.78,5.39,2,2,9,,Joe Flacco,FlacJo00
2017,32,BAL,QB,16,16,9-7-0,352,549,64.1,3141,18,3.3,13,2.4,163,40.6,66,5.7,5.31,8.9,196.3,80.4,47.1,27,205,4.69,5.10,4.71,0,0,9,,Joe Flacco,FlacJo00
2018,33,BAL,QB,9,9,4-5-0,232,379,61.2,2465,12,3.2,6,1.6,119,44.8,71,6.5,6.42,10.6,273.9,84.2,54.8,16,79,4.05,6.04,5.96,0,0,7,,Joe Flacco,FlacJo00
2019,34,DEN,QB,8,8,2-6-0,171,262,65.3,1822,6,2.3,5,1.9,86,42.0,70,7.0,6.55,10.7,227.8,85.1,50.8,26,194,9.03,5.65,5.29,0,0,5,,Joe Flacco,FlacJo00
2020,35,NYJ,QB,5,4,0-4-0,74,134,55.2,864,6,4.5,3,2.2,36,41.8,52,6.4,6.34,11.7,172.8,80.6,50.3,7,69,4.96,5.64,5.53,0,0,2,,Joe Flacco,FlacJo00
2021,36,NYJ,QB,2,1,0-1-0,27,42,64.3,338,3,7.1,0,0.0,14,56.8,62,8.0,9.48,12.5,169.0,113.0,49.5,2,13,4.55,7.39,8.75,0,0,1,,Joe Flacco,FlacJo00
2022,37,NYJ,QB,5,4,1-3-0,110,191,57.6,1051,5,2.6,3,1.6,55,39.3,66,5.5,5.32,9.6,210.2,75.2,36.1,10,66,4.98,4.90,4.73,1,1,1,,Joe Flacco,FlacJo00
2023,38,CLE,QB,5,5,4-1-0,123,204,60.3,1616,13,6.4,8,3.9,60,46.7,75,7.9,7.43,13.1,323.2,90.2,49.1,8,57,3.77,7.35,6.88,1,1,5,AP CPoY-1,Joe Flacco,FlacJo00
2024,39,IND,QB,8,6,2-4-0,162,248,65.3,1761,12,4.8,7,2.8,87,46.2,65,7.1,6.80,10.9,220.1,90.5,50.0,18,123,6.77,6.16,5.88,1,2,5,,Joe Flacco,FlacJo00
2025,40,2TM,QB,10,10,2-8-0,247,410,60.2,2451,15,3.7,10,2.4,114,41.8,44,6.0,5.61,9.9,245.1,79.2,,18,118,4.21,5.45,5.10,2,2,,,Joe Flacco,FlacJo00
