Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,27,BAL,QB,5,16,16,1002,92%,0,0%,0,0%,Joe Flacco,FlacJo00
2013,28,BAL,QB,5,16,16,1128,99%,0,0%,0,0%,Joe Flacco,FlacJo00
2014,29,BAL,QB,5,16,16,1068,99%,0,0%,0,0%,Joe Flacco,FlacJo00
2015,30,BAL,QB,5,10,10,716,100%,0,0%,0,0%,Joe Flacco,FlacJo00
2016,31,BAL,QB,5,16,16,1111,98%,0,0%,0,0%,Joe Flacco,FlacJo00
2017,32,BAL,QB,5,16,16,1026,95%,0,0%,0,0%,Joe Flacco,FlacJo00
2018,33,BAL,QB,5,9,9,641,95%,0,0%,0,0%,Joe Flacco,FlacJo00
2019,34,DEN,QB,5,8,8,532,100%,0,0%,0,0%,Joe Flacco,FlacJo00
2020,35,NYJ,QB,5,5,4,250,77%,0,0%,0,0%,Joe Flacco,FlacJo00
2021,36,NYJ,QB,19,2,1,66,48%,0,0%,0,0%,Joe Flacco,FlacJo00
2022,37,NYJ,QB,19,5,4,295,82%,0,0%,0,0%,Joe Flacco,FlacJo00
2023,38,CLE,QB,15,5,5,346,97%,0,0%,0,0%,Joe Flacco,FlacJo00
2024,39,IND,QB,15,8,6,467,86%,0,0%,0,0%,Joe Flacco,FlacJo00
