Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1980,24,SFO,QB,15,7,91,99,106,110,132,116,116,111,123,,Joe Montana,MontJo01
1981,25,SFO,QB,16,16,106,113,116,119,127,96,126,112,122,"PB,AP-2,AP MVP-2,AP OPoY-3",Joe Montana,MontJo01
1982,26,SFO,QB,9,9,110,114,115,117,118,108,115,111,118,,Joe Montana,MontJo01
1983,27,SFO,QB,16,16,109,116,119,122,125,109,125,112,124,"PB,AP MVP-5,AP OPoY-5",Joe Montana,MontJo01
1984,28,SFO,QB,16,15,127,135,133,138,128,125,124,120,134,"PB,AP-2",Joe Montana,MontJo01
1985,29,SFO,QB,15,15,107,111,117,119,121,115,119,109,122,PB,Joe Montana,MontJo01
1986,30,SFO,QB,8,8,106,118,106,113,127,82,115,124,108,AP MVP-6,Joe Montana,MontJo01
1987,31,SFO,QB,13,11,115,120,123,127,139,138,110,113,136,"PB,AP-1,AP MVP-3,AP OPoY-2",Joe Montana,MontJo01
1988,32,SFO,QB,14,13,111,108,116,115,116,104,119,95,117,,Joe Montana,MontJo01
1989,33,SFO,QB,13,13,145,138,145,141,152,132,123,95,149,"PB,AP-1,AP MVP-1,AP OPoY-1",Joe Montana,MontJo01
1990,34,SFO,QB,15,15,113,117,115,117,120,112,108,111,118,"PB,AP-1,AP MVP-1,AP OPoY-3",Joe Montana,MontJo01
1993,37,KAN,QB,11,11,108,116,114,119,108,108,116,119,114,PB,Joe Montana,MontJo01
1994,38,KAN,QB,14,14,98,105,105,109,108,93,120,117,107,,Joe Montana,MontJo01
