Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,Awards,Player,PlayerID
1979,23,SFO,QB,16,1,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,,Joe Montana,MontJo01
1980,24,SFO,QB,15,7,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,,Joe Montana,MontJo01
1981,25,SFO,QB,16,16,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-3",Joe Montana,MontJo01
1982,26,SFO,QB,9,9,0,0,0,0,0,4,2,-2,0,0.0,0,0,0,0,,Joe Montana,MontJo01
1983,27,SFO,QB,16,16,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,"PB,AP MVP-5,AP OPoY-5",Joe Montana,MontJo01
1984,28,SFO,QB,16,15,0,0,0,0,0,4,2,-3,0,0.0,0,0,0,0,"PB,AP-2",Joe Montana,MontJo01
1985,29,SFO,QB,15,15,0,0,0,0,0,5,3,-11,0,0.0,0,0,0,0,PB,Joe Montana,MontJo01
1986,30,SFO,QB,8,8,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,AP MVP-6,Joe Montana,MontJo01
1987,31,SFO,QB,13,11,0,0,0,0,0,3,2,-5,0,0.0,0,0,0,0,"PB,AP-1,AP MVP-3,AP OPoY-2",Joe Montana,MontJo01
1988,32,SFO,QB,14,13,0,0,0,0,0,3,1,-3,0,0.0,0,0,0,0,,Joe Montana,MontJo01
1989,33,SFO,QB,13,13,0,0,0,0,0,9,3,-3,0,0.0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Joe Montana,MontJo01
1990,34,SFO,QB,15,15,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-3",Joe Montana,MontJo01
1993,37,KAN,QB,11,11,0,0,0,0,0,1,0,-1,0,0.0,0,0,0,0,PB,Joe Montana,MontJo01
1994,38,KAN,QB,14,14,0,0,0,0,0,7,1,-6,0,0.0,0,0,0,0,,Joe Montana,MontJo01
