Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec/G,Rec_Y/G,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1979,23,SFO,QB,16,1,3,22,0,1,33.3,13,7.3,1.4,0.2,0,0,0,0,0,0.0,0.0,3,7.3,22,0,1,,Joe Montana,MontJo01
1980,24,SFO,QB,15,7,32,77,2,6,40.6,11,2.4,5.1,2.1,0,0,0,0,0,0.0,0.0,32,2.4,77,2,4,,Joe Montana,MontJo01
1981,25,SFO,QB,16,16,25,95,2,7,36.0,20,3.8,5.9,1.6,0,0,0,0,0,0.0,0.0,25,3.8,95,2,2,"PB,AP-2,AP MVP-2,AP OPoY-3",Joe Montana,MontJo01
1982,26,SFO,QB,9,9,30,118,1,7,50.0,21,3.9,13.1,3.3,0,0,0,0,0,0.0,0.0,30,3.9,118,1,4,,Joe Montana,MontJo01
1983,27,SFO,QB,16,16,61,284,2,26,65.6,18,4.7,17.8,3.8,0,0,0,0,0,0.0,0.0,61,4.7,284,2,3,"PB,AP MVP-5,AP OPoY-5",Joe Montana,MontJo01
1984,28,SFO,QB,16,15,39,118,2,14,46.2,15,3.0,7.4,2.4,0,0,0,0,0,0.0,0.0,39,3.0,118,2,4,"PB,AP-2",Joe Montana,MontJo01
1985,29,SFO,QB,15,15,42,153,3,18,50.0,16,3.6,10.2,2.8,0,0,0,0,0,0.0,0.0,42,3.6,153,3,5,PB,Joe Montana,MontJo01
1986,30,SFO,QB,8,8,17,38,0,4,47.1,17,2.2,4.8,2.1,0,0,0,0,0,0.0,0.0,17,2.2,38,0,3,AP MVP-6,Joe Montana,MontJo01
1987,31,SFO,QB,13,11,35,141,1,10,51.4,20,4.0,10.8,2.7,0,0,0,0,0,0.0,0.0,35,4.0,141,1,3,"PB,AP-1,AP MVP-3,AP OPoY-2",Joe Montana,MontJo01
1988,32,SFO,QB,14,13,38,132,3,12,42.1,15,3.5,9.4,2.7,0,0,0,0,0,0.0,0.0,38,3.5,132,3,3,,Joe Montana,MontJo01
1989,33,SFO,QB,13,13,49,227,3,21,46.9,19,4.6,17.5,3.8,0,0,0,0,0,0.0,0.0,49,4.6,227,3,9,"PB,AP-1,AP MVP-1,AP OPoY-1",Joe Montana,MontJo01
1990,34,SFO,QB,15,15,40,162,1,11,47.5,20,4.1,10.8,2.7,0,0,0,0,0,0.0,0.0,40,4.1,162,1,4,"PB,AP-1,AP MVP-1,AP OPoY-3",Joe Montana,MontJo01
1992,36,SFO,QB,1,0,3,28,0,3,100.0,16,9.3,28.0,3.0,0,0,0,0,0,0.0,0.0,3,9.3,28,0,0,,Joe Montana,MontJo01
1993,37,KAN,QB,11,11,25,64,0,3,28.0,17,2.6,5.8,2.3,0,0,0,0,0,0.0,0.0,25,2.6,64,0,1,PB,Joe Montana,MontJo01
1994,38,KAN,QB,14,14,18,17,0,2,16.7,13,0.9,1.2,1.3,0,0,0,0,0,0.0,0.0,18,0.9,17,0,7,,Joe Montana,MontJo01
