Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1983,23,DEN,QB,11,10,86,83,81,79,71,84,85,90,75,,John Elway,ElwaJo00
1984,24,DEN,QB,15,14,94,103,99,104,101,106,103,114,102,,John Elway,ElwaJo00
1985,25,DEN,QB,16,16,87,94,92,96,94,95,104,113,94,,John Elway,ElwaJo00
1986,26,DEN,QB,16,16,98,104,107,110,102,95,120,111,106,"PB,AP MVP-5,AP OPoY-5",John Elway,ElwaJo00
1987,27,DEN,QB,12,12,118,124,119,124,99,105,114,116,112,"PB,AP-2,AP MVP-1,AP OPoY-3",John Elway,ElwaJo00
1988,28,DEN,QB,15,15,93,97,94,96,101,92,101,109,96,,John Elway,ElwaJo00
1989,29,DEN,QB,15,15,107,102,101,99,94,103,92,95,98,PB,John Elway,ElwaJo00
1990,30,DEN,QB,16,16,100,97,103,101,108,89,112,94,103,,John Elway,ElwaJo00
1991,31,DEN,QB,16,16,106,101,107,103,88,88,114,89,99,PB,John Elway,ElwaJo00
1992,32,DEN,QB,12,12,105,96,91,86,92,94,72,80,86,,John Elway,ElwaJo00
1993,33,DEN,QB,16,16,111,109,119,117,116,110,124,101,121,"PB,AP-2,AP MVP-4,AP OPoY-4",John Elway,ElwaJo00
1994,34,DEN,QB,14,14,107,100,110,105,113,93,117,85,110,PB,John Elway,ElwaJo00
1995,35,DEN,QB,16,16,114,118,116,118,101,111,110,115,112,,John Elway,ElwaJo00
1996,36,DEN,QB,15,15,111,113,113,114,116,121,102,109,117,"PB,AP-2,AP MVP-2,AP OPoY-3",John Elway,ElwaJo00
1997,37,DEN,QB,16,16,110,112,115,116,96,114,115,104,113,PB,John Elway,ElwaJo00
1998,38,DEN,QB,13,12,120,124,120,123,109,122,106,114,119,PB,John Elway,ElwaJo00
