Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,Awards,Player,PlayerID
1983,23,DEN,QB,11,10,0,0,0,0,0,6,3,0,0,0.0,0,0,0,0,,John Elway,ElwaJo00
1984,24,DEN,QB,15,14,0,0,0,0,0,14,5,-10,0,0.0,0,0,0,0,,John Elway,ElwaJo00
1985,25,DEN,QB,16,16,0,0,0,0,0,7,2,-35,0,0.0,0,0,0,0,,John Elway,ElwaJo00
1986,26,DEN,QB,16,16,0,0,0,0,0,8,1,-13,0,0.0,0,0,0,0,"PB,AP MVP-5,AP OPoY-5",John Elway,ElwaJo00
1987,27,DEN,QB,12,12,0,0,0,0,0,2,0,-1,0,0.0,0,0,0,0,"PB,AP-2,AP MVP-1,AP OPoY-3",John Elway,ElwaJo00
1988,28,DEN,QB,15,15,0,0,0,0,0,7,5,-9,0,0.0,0,0,0,0,,John Elway,ElwaJo00
1989,29,DEN,QB,15,15,0,0,0,0,0,9,2,-4,0,0.0,0,0,0,0,PB,John Elway,ElwaJo00
1990,30,DEN,QB,16,16,0,0,0,0,0,8,1,-3,0,0.0,0,0,0,0,,John Elway,ElwaJo00
1991,31,DEN,QB,16,16,0,0,0,0,0,12,2,0,0,0.0,0,0,0,0,PB,John Elway,ElwaJo00
1992,32,DEN,QB,12,12,0,0,0,0,0,12,1,0,0,0.0,0,0,0,0,,John Elway,ElwaJo00
1993,33,DEN,QB,16,16,0,0,0,0,0,8,5,-5,0,0.0,0,0,0,0,"PB,AP-2,AP MVP-4,AP OPoY-4",John Elway,ElwaJo00
1994,34,DEN,QB,14,14,0,0,0,0,0,11,2,-5,0,0.0,0,0,0,0,PB,John Elway,ElwaJo00
1995,35,DEN,QB,16,16,0,0,0,0,0,9,1,-7,0,0.0,0,0,0,0,,John Elway,ElwaJo00
1996,36,DEN,QB,15,15,0,0,0,0,0,6,2,-4,0,0.0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-3",John Elway,ElwaJo00
1997,37,DEN,QB,16,16,0,0,0,0,0,11,1,-21,0,0.0,0,0,0,0,PB,John Elway,ElwaJo00
1998,38,DEN,QB,13,12,0,0,0,0,0,7,2,-18,0,0.0,0,0,0,0,PB,John Elway,ElwaJo00
