Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1983,23,DEN,QB,11,10,4-6-0,123,259,47.5,1663,7,2.7,14,5.4,74,35.5,49,6.4,4.53,13.5,151.2,54.9,28,218,9.76,5.03,3.33,1,1,4,,John Elway,ElwaJo00
1984,24,DEN,QB,15,14,12-2-0,214,380,56.3,2598,18,4.7,15,3.9,125,40.8,73,6.8,6.01,12.1,173.2,76.8,24,158,5.94,6.04,5.26,2,2,10,,John Elway,ElwaJo00
1985,25,DEN,QB,16,16,11-5-0,327,605,54.0,3891,22,3.6,23,3.8,190,41.2,65,6.4,5.45,11.9,243.2,70.2,38,307,5.91,5.57,4.65,6,6,13,,John Elway,ElwaJo00
1986,26,DEN,QB,16,16,11-5-0,280,504,55.6,3485,19,3.8,13,2.6,168,40.9,53,6.9,6.51,12.4,217.8,79.0,32,233,5.97,6.07,5.68,1,1,14,"PB,AP MVP-5,AP OPoY-5",John Elway,ElwaJo00
1987,27,DEN,QB,12,12,8-3-1,224,410,54.6,3198,19,4.6,12,2.9,144,43.5,72,7.8,7.41,14.3,266.5,83.4,20,138,4.65,7.12,6.74,3,2,14,"PB,AP-2,AP MVP-1,AP OPoY-3",John Elway,ElwaJo00
1988,28,DEN,QB,15,15,8-7-0,274,496,55.2,3309,17,3.4,19,3.8,171,44.5,86,6.7,5.63,12.1,220.6,71.4,30,237,5.70,5.84,4.86,1,1,12,,John Elway,ElwaJo00
1989,29,DEN,QB,15,15,10-5-0,223,416,53.6,3051,18,4.3,18,4.3,145,42.1,69,7.3,6.25,13.7,203.4,73.7,35,298,7.76,6.10,5.11,2,2,12,PB,John Elway,ElwaJo00
1990,30,DEN,QB,16,16,5-11-0,294,502,58.6,3526,15,3.0,14,2.8,165,43.9,66,7.0,6.37,12.0,220.4,78.5,43,311,7.89,5.90,5.29,1,3,14,,John Elway,ElwaJo00
1991,31,DEN,QB,16,16,12-4-0,242,451,53.7,3253,13,2.9,12,2.7,147,39.9,71,7.2,6.59,13.4,203.3,75.4,45,305,9.07,5.94,5.38,1,4,14,PB,John Elway,ElwaJo00
1992,32,DEN,QB,12,12,8-4-0,174,316,55.1,2242,10,3.2,17,5.4,90,37.8,80,7.1,5.31,12.9,186.8,65.7,36,272,10.23,5.60,3.99,3,3,7,,John Elway,ElwaJo00
1993,33,DEN,QB,16,16,9-7-0,348,551,63.2,4030,25,4.5,10,1.8,184,45.3,63,7.3,7.40,11.6,251.9,92.8,39,293,6.61,6.33,6.42,1,1,17,"PB,AP-2,AP MVP-4,AP OPoY-4",John Elway,ElwaJo00
1994,34,DEN,QB,14,14,7-7-0,307,494,62.1,3490,16,3.2,10,2.0,162,45.2,63,7.1,6.80,11.4,249.3,85.7,46,303,8.52,5.90,5.66,2,3,13,PB,John Elway,ElwaJo00
1995,35,DEN,QB,16,16,8-8-0,316,542,58.3,3970,26,4.8,14,2.6,190,46.1,62,7.3,7.12,12.6,248.1,86.4,22,180,3.90,6.72,6.52,1,3,15,,John Elway,ElwaJo00
1996,36,DEN,QB,15,15,13-2-0,287,466,61.6,3328,26,5.6,14,3.0,165,48.2,51,7.1,6.91,11.6,221.9,89.2,26,194,5.28,6.37,6.15,4,4,15,"PB,AP-2,AP MVP-2,AP OPoY-3",John Elway,ElwaJo00
1997,37,DEN,QB,16,16,12-4-0,280,502,55.8,3635,27,5.4,11,2.2,169,42.2,78,7.2,7.33,13.0,227.2,87.5,34,203,6.34,6.40,6.49,0,2,18,PB,John Elway,ElwaJo00
1998,38,DEN,QB,13,12,10-2-0,210,356,59.0,2806,22,6.2,10,2.8,139,49.2,58,7.9,7.85,13.4,215.8,93.0,18,135,4.81,7.14,7.11,2,2,14,PB,John Elway,ElwaJo00
