Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2013,25,WAS,QB,5,3,61,76,61,69,64,79,67,126,63,,Kirk Cousins,CousKi00
2014,26,WAS,QB,6,5,128,130,106,109,98,105,68,120,97,,Kirk Cousins,CousKi00
2015,27,WAS,QB,16,16,111,114,112,114,128,111,107,112,118,,Kirk Cousins,CousKi00
2016,28,WAS,QB,16,16,122,126,115,119,117,97,107,120,112,PB,Kirk Cousins,CousKi00
2017,29,WAS,QB,16,16,108,103,107,103,103,107,99,94,105,,Kirk Cousins,CousKi00
2018,30,MIN,QB,16,16,98,99,104,105,125,105,112,103,113,,Kirk Cousins,CousKi00
2019,31,MIN,QB,15,15,116,115,120,119,118,112,116,104,120,PB,Kirk Cousins,CousKi00
2020,32,MIN,QB,16,16,122,118,119,116,113,122,95,94,118,,Kirk Cousins,CousKi00
2021,33,MIN,QB,16,16,108,111,115,116,106,113,120,110,116,PB,Kirk Cousins,CousKi00
2022,34,MIN,QB,17,17,100,99,102,101,106,102,103,98,104,PB,Kirk Cousins,CousKi00
2023,35,MIN,QB,8,8,110,113,118,119,125,122,116,112,126,,Kirk Cousins,CousKi00
2024,36,ATL,QB,14,14,114,114,100,102,108,96,75,108,97,AP CPoY-13,Kirk Cousins,CousKi00
2025,37,ATL,QB,7,5,91,100,94,99,92,84,109,118,92,,Kirk Cousins,CousKi00
