Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2012,24,WAS,QB,3,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,Kirk Cousins,CousKi00
2013,25,WAS,QB,5,3,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,,,0,,Kirk Cousins,CousKi00
2014,26,WAS,QB,6,5,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,,Kirk Cousins,CousKi00
2015,27,WAS,QB,16,16,0,0,0,0,0,0,9,5,-8,0,0.0,0,0,0,0,0,0,,Kirk Cousins,CousKi00
2016,28,WAS,QB,16,16,0,0,0,0,0,0,9,5,0,0,0.0,0,0,0,0,0,0,PB,Kirk Cousins,CousKi00
2017,29,WAS,QB,16,16,0,0,0,0,0,0,13,4,-52,0,0.0,0,0,0,0,0,0,,Kirk Cousins,CousKi00
2018,30,MIN,QB,16,16,0,0,0,0,0,0,9,3,-31,0,0.0,0,0,0,0,0,0,,Kirk Cousins,CousKi00
2019,31,MIN,QB,15,15,0,0,0,0,0,0,10,4,-7,0,0.0,0,0,0,0,0,0,PB,Kirk Cousins,CousKi00
2020,32,MIN,QB,16,16,0,0,0,0,0,0,9,1,-1,0,0.0,0,0,0,0,0,0,,Kirk Cousins,CousKi00
2021,33,MIN,QB,16,16,0,0,0,0,0,0,12,4,0,0,0.0,1,1,0,0,0,0,PB,Kirk Cousins,CousKi00
2022,34,MIN,QB,17,17,0,0,0,0,0,0,7,0,-5,0,0.0,1,0,1,0,0,0,PB,Kirk Cousins,CousKi00
2023,35,MIN,QB,8,8,0,0,0,0,0,0,7,2,1,0,0.0,0,0,0,0,0,0,,Kirk Cousins,CousKi00
2024,36,ATL,QB,14,14,0,0,0,0,0,0,13,2,-16,0,0.0,0,0,0,0,0,0,AP CPoY-13,Kirk Cousins,CousKi00
2025,37,ATL,QB,7,5,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,Kirk Cousins,CousKi00
