Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2012,24,WAS,QB,3,1,3,22,0,1,66.7,17,7.3,7.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,3,7.3,22,0,1,,Kirk Cousins,CousKi00
2013,25,WAS,QB,5,3,4,14,0,2,50.0,6,3.5,2.8,0.8,0,0,0,,0,0,,,0.0,0.0,,,4,3.5,14,0,3,,Kirk Cousins,CousKi00
2014,26,WAS,QB,6,5,7,20,0,3,57.1,12,2.9,3.3,1.2,0,0,0,,0,0,,,0.0,0.0,,,7,2.9,20,0,2,,Kirk Cousins,CousKi00
2015,27,WAS,QB,16,16,26,48,5,8,38.5,13,1.8,3.0,1.6,0,0,0,,0,0,,,0.0,0.0,,,26,1.8,48,5,9,,Kirk Cousins,CousKi00
2016,28,WAS,QB,16,16,34,96,4,14,44.1,19,2.8,6.0,2.1,0,0,0,,0,0,,,0.0,0.0,,,34,2.8,96,4,9,PB,Kirk Cousins,CousKi00
2017,29,WAS,QB,16,16,49,179,4,19,49.0,18,3.7,11.2,3.1,0,0,0,,0,0,,,0.0,0.0,,,49,3.7,179,4,13,,Kirk Cousins,CousKi00
2018,30,MIN,QB,16,16,44,123,1,12,36.4,19,2.8,7.7,2.8,1,1,-1,-1.0,0,0,0.0,-1,0.1,-0.1,100.0,-1.0,45,2.7,122,1,9,,Kirk Cousins,CousKi00
2019,31,MIN,QB,15,15,31,63,1,8,41.9,14,2.0,4.2,2.1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,31,2.0,63,1,10,PB,Kirk Cousins,CousKi00
2020,32,MIN,QB,16,16,32,156,1,16,59.4,16,4.9,9.8,2.0,0,0,0,,0,0,,,0.0,0.0,,,32,4.9,156,1,9,,Kirk Cousins,CousKi00
2021,33,MIN,QB,16,16,29,115,1,8,48.3,29,4.0,7.2,1.8,0,0,0,,0,0,,,0.0,0.0,,,29,4.0,115,1,12,PB,Kirk Cousins,CousKi00
2022,34,MIN,QB,17,17,31,97,2,12,38.7,19,3.1,5.7,1.8,0,0,0,,0,0,,,0.0,0.0,,,31,3.1,97,2,7,PB,Kirk Cousins,CousKi00
2023,35,MIN,QB,8,8,14,25,0,6,50.0,10,1.8,3.1,1.8,0,0,0,,0,0,,,0.0,0.0,,,14,1.8,25,0,7,,Kirk Cousins,CousKi00
2024,36,ATL,QB,14,14,23,0,0,2,13.0,,0.0,0.0,1.6,0,0,0,,0,0,,,0.0,0.0,,,23,0.0,0,0,13,AP CPoY-13,Kirk Cousins,CousKi00
2025,37,ATL,QB,10,8,14,7,1,4,28.6,6,0.5,0.7,1.4,0,0,0,,0,0,,,0.0,0.0,,,14,0.5,7,1,3,,Kirk Cousins,CousKi00
