Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,24,WAS,QB,12,3,1,95,49%,0,0%,0,0%,Kirk Cousins,CousKi00
2013,25,WAS,QB,12,5,3,238,69%,0,0%,0,0%,Kirk Cousins,CousKi00
2014,26,WAS,QB,8,6,5,357,90%,0,0%,0,0%,Kirk Cousins,CousKi00
2015,27,WAS,QB,8,16,16,1025,96%,0,0%,0,0%,Kirk Cousins,CousKi00
2017,29,WAS,QB,8,16,16,1008,100%,0,0%,0,0%,Kirk Cousins,CousKi00
2018,30,MIN,QB,8,16,16,1051,100%,0,0%,0,0%,Kirk Cousins,CousKi00
2020,32,MIN,QB,8,16,16,1082,100%,0,0%,0,0%,Kirk Cousins,CousKi00
2023,35,MIN,QB,8,8,8,512,98%,0,0%,0,0%,Kirk Cousins,CousKi00
2024,36,ATL,QB,18,14,14,913,98%,0,0%,0,0%,Kirk Cousins,CousKi00
2025,37,ATL,QB,18,7,5,350,79%,0,0%,0,0%,Kirk Cousins,CousKi00
