Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1999,28,STL,QB,16,16,132,132,133,134,130,143,109,109,136,"PB,AP-1,AP MVP-1,AP OPoY-2",Kurt Warner,WarnKu00
2000,29,STL,QB,11,11,158,158,136,137,138,126,70,109,128,PB,Kurt Warner,WarnKu00
2001,30,STL,QB,16,16,140,137,132,130,133,136,87,101,132,"PB,AP-1,AP MVP-1,AP OPoY-2",Kurt Warner,WarnKu00
2002,31,STL,QB,7,6,96,90,76,75,122,62,69,85,82,,Kurt Warner,WarnKu00
2003,32,STL,QB,2,1,78,76,88,85,97,68,128,87,90,,Kurt Warner,WarnKu00
2004,33,NYG,QB,10,9,110,99,112,104,111,77,130,59,108,,Kurt Warner,WarnKu00
2005,34,ARI,QB,10,10,106,107,105,106,116,87,113,106,106,,Kurt Warner,WarnKu00
2006,35,ARI,QB,6,5,127,118,117,112,114,95,102,92,111,,Kurt Warner,WarnKu00
2007,36,ARI,QB,14,11,114,116,110,112,106,123,88,112,111,,Kurt Warner,WarnKu00
2008,37,ARI,QB,16,16,114,116,115,116,120,110,109,113,117,"PB,AP MVP-7,AP CPoY-4",Kurt Warner,WarnKu00
2009,38,ARI,QB,15,15,106,109,107,109,117,112,103,112,112,,Kurt Warner,WarnKu00
