Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
1999,28,STL,QB,16,16,0,0,0,0,0,0,9,0,-4,0,0.0,0,0,0,0,,0,"PB,AP-1,AP MVP-1,AP OPoY-2",Kurt Warner,WarnKu00
2000,29,STL,QB,11,11,0,0,0,0,0,0,4,0,-8,0,0.0,,,,,,0,PB,Kurt Warner,WarnKu00
2001,30,STL,QB,16,16,0,0,0,0,0,0,10,2,-14,0,0.0,0,0,0,0,,0,"PB,AP-1,AP MVP-1,AP OPoY-2",Kurt Warner,WarnKu00
2002,31,STL,QB,7,6,0,0,0,0,0,0,8,2,-3,0,0.0,0,0,0,0,,0,,Kurt Warner,WarnKu00
2003,32,STL,QB,2,1,0,0,0,0,0,0,6,1,-9,0,0.0,0,0,0,0,,0,,Kurt Warner,WarnKu00
2004,33,NYG,QB,10,9,0,0,0,0,0,0,12,1,-3,0,0.0,0,0,0,0,,0,,Kurt Warner,WarnKu00
2005,34,ARI,QB,10,10,0,0,0,0,0,0,9,3,-9,0,0.0,0,0,0,0,,0,,Kurt Warner,WarnKu00
2006,35,ARI,QB,6,5,0,0,0,0,0,0,10,3,-12,0,0.0,0,0,0,0,0,0,,Kurt Warner,WarnKu00
2007,36,ARI,QB,14,11,0,0,0,0,0,0,12,5,-28,0,0.0,0,0,0,0,0,0,,Kurt Warner,WarnKu00
2008,37,ARI,QB,16,16,0,0,0,0,0,0,11,2,-8,0,0.0,0,0,0,0,0,0,"PB,AP MVP-7,AP CPoY-4",Kurt Warner,WarnKu00
2009,38,ARI,QB,15,15,0,0,0,0,0,0,11,0,-2,0,0.0,0,0,0,0,0,0,,Kurt Warner,WarnKu00
