Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1999,28,STL,QB,16,16,23,92,1,10,34.8,22,4.0,5.8,1.4,0,0,0,,0,0,,0.0,0.0,,,23,4.0,92,1,9,"PB,AP-1,AP MVP-1,AP OPoY-2",Kurt Warner,WarnKu00
2000,29,STL,QB,11,11,18,17,0,3,22.2,11,0.9,1.5,1.6,0,0,0,,0,0,,0.0,0.0,,,18,0.9,17,0,4,PB,Kurt Warner,WarnKu00
2001,30,STL,QB,16,16,28,60,0,3,21.4,23,2.1,3.8,1.8,0,0,0,,0,0,,0.0,0.0,,,28,2.1,60,0,10,"PB,AP-1,AP MVP-1,AP OPoY-2",Kurt Warner,WarnKu00
2002,31,STL,QB,7,6,8,33,0,2,50.0,9,4.1,4.7,1.1,0,0,0,,0,0,,0.0,0.0,,,8,4.1,33,0,8,,Kurt Warner,WarnKu00
2003,32,STL,QB,2,1,1,0,0,0,0.0,,0.0,0.0,0.5,0,0,0,,0,0,,0.0,0.0,,,1,0.0,0,0,6,,Kurt Warner,WarnKu00
2004,33,NYG,QB,10,9,13,30,1,5,38.5,13,2.3,3.0,1.3,0,0,0,,0,0,,0.0,0.0,,,13,2.3,30,1,12,,Kurt Warner,WarnKu00
2005,34,ARI,QB,10,10,13,28,0,3,38.5,13,2.2,2.8,1.3,1,1,0,0.0,0,0,0.0,0.1,0.0,100.0,0.0,14,2.0,28,0,9,,Kurt Warner,WarnKu00
2006,35,ARI,QB,6,5,13,3,0,3,23.1,9,0.2,0.5,2.2,0,0,0,,0,0,,0.0,0.0,,,13,0.2,3,0,10,,Kurt Warner,WarnKu00
2007,36,ARI,QB,14,11,17,15,1,1,11.8,9,0.9,1.1,1.2,0,0,0,,0,0,,0.0,0.0,,,17,0.9,15,1,12,,Kurt Warner,WarnKu00
2008,37,ARI,QB,16,16,18,-2,0,1,5.6,11,-0.1,-0.1,1.1,0,0,0,,0,0,,0.0,0.0,,,18,-0.1,-2,0,11,"PB,AP MVP-7,AP CPoY-4",Kurt Warner,WarnKu00
2009,38,ARI,QB,15,15,21,10,0,1,9.5,10,0.5,0.7,1.4,0,0,0,,0,0,,0.0,0.0,,,21,0.5,10,0,11,,Kurt Warner,WarnKu00
