Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1995,25,JAX,QB,13,10,88,79,102,95,100,105,119,73,106,,Mark Brunell,BrunMa00
1996,26,JAX,QB,16,16,128,122,113,110,123,94,93,90,109,PB,Mark Brunell,BrunMa00
1997,27,JAX,QB,14,14,115,115,119,119,115,101,123,100,117,PB,Mark Brunell,BrunMa00
1998,28,JAX,QB,13,13,110,110,114,113,108,117,109,99,115,,Mark Brunell,BrunMa00
1999,29,JAX,QB,15,15,103,104,106,107,105,91,117,105,105,PB,Mark Brunell,BrunMa00
2000,30,JAX,QB,16,16,107,101,108,104,111,100,109,84,108,,Mark Brunell,BrunMa00
2001,31,JAX,QB,15,15,105,94,107,98,107,101,107,75,107,,Mark Brunell,BrunMa00
2002,32,JAX,QB,15,15,100,97,111,108,99,102,126,93,110,,Mark Brunell,BrunMa00
2003,33,JAX,QB,3,3,83,79,102,98,121,79,154,77,112,,Mark Brunell,BrunMa00
2004,34,WAS,QB,9,9,69,72,79,81,68,87,111,104,79,,Mark Brunell,BrunMa00
2005,35,WAS,QB,16,15,97,98,105,105,93,111,116,107,106,AP CPoY-3,Mark Brunell,BrunMa00
2006,36,WAS,QB,10,9,101,105,107,109,107,89,125,113,107,,Mark Brunell,BrunMa00
