Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1994,24,GNB,QB,2,0,,12,27,44.4,95,0,0.0,0,0.0,5,27.6,25,3.5,3.52,7.9,47.5,53.8,,2,16,6.90,2.72,2.72,0,0,0,,Mark Brunell,BrunMa00
1995,25,JAX,QB,13,10,3-7-0,201,346,58.1,2168,15,4.3,7,2.0,107,39.5,45,6.3,6.22,10.8,166.8,82.6,,39,238,10.13,5.01,4.97,2,2,9,,Mark Brunell,BrunMa00
1996,26,JAX,QB,16,16,9-7-0,353,557,63.4,4367,19,3.4,20,3.6,208,48.6,62,7.8,6.91,12.4,272.9,84.0,,50,257,8.24,6.77,5.91,3,3,16,PB,Mark Brunell,BrunMa00
1997,27,JAX,QB,14,14,9-5-0,264,435,60.7,3281,18,4.1,7,1.6,160,46.4,75,7.5,7.65,12.4,234.4,91.2,,33,189,7.05,6.61,6.70,1,1,15,PB,Mark Brunell,BrunMa00
1998,28,JAX,QB,13,13,10-3-0,208,354,58.8,2601,20,5.6,9,2.5,125,45.3,78,7.3,7.33,12.5,200.1,89.9,,28,172,7.33,6.36,6.35,4,4,11,,Mark Brunell,BrunMa00
1999,29,JAX,QB,15,15,13-2-0,259,441,58.7,3060,14,3.2,9,2.0,154,44.0,62,6.9,6.66,11.8,204.0,82.0,,29,174,6.17,6.14,5.87,2,3,12,PB,Mark Brunell,BrunMa00
2000,30,JAX,QB,16,16,7-9-0,311,512,60.7,3640,20,3.9,14,2.7,177,46.1,67,7.1,6.66,11.7,227.5,84.0,,54,289,9.54,5.92,5.51,0,2,15,,Mark Brunell,BrunMa00
2001,31,JAX,QB,15,15,6-9-0,289,473,61.1,3309,19,4.0,13,2.7,165,44.3,44,7.0,6.56,11.4,220.6,84.1,,57,387,10.75,5.51,5.13,1,1,12,,Mark Brunell,BrunMa00
2002,32,JAX,QB,15,15,6-9-0,245,416,58.9,2788,17,4.1,7,1.7,140,42.4,79,6.7,6.76,11.4,185.9,85.7,,34,210,7.56,5.73,5.78,0,1,12,,Mark Brunell,BrunMa00
2003,33,JAX,QB,3,3,0-3-0,54,82,65.9,484,2,2.4,0,0.0,22,39.6,65,5.9,6.39,9.0,161.3,89.7,,9,46,9.89,4.81,5.25,0,0,2,,Mark Brunell,BrunMa00
2004,34,WAS,QB,9,9,3-6-0,118,237,49.8,1194,7,3.0,6,2.5,68,36.9,49,5.0,4.49,10.1,132.7,63.9,,15,105,5.95,4.32,3.81,0,1,0,,Mark Brunell,BrunMa00
2005,35,WAS,QB,16,15,9-6-0,262,454,57.7,3050,23,5.1,10,2.2,155,42.8,78,6.7,6.74,11.6,190.6,85.9,,27,213,5.61,5.90,5.92,2,3,10,AP CPoY-3,Mark Brunell,BrunMa00
2006,36,WAS,QB,10,9,3-6-0,162,260,62.3,1789,8,3.1,4,1.5,80,44.5,74,6.9,6.80,11.0,178.9,86.5,42.1,12,92,4.41,6.24,6.17,1,1,6,,Mark Brunell,BrunMa00
2008,38,NOR,QB,2,0,,0,0,,0,0,,0,,0,,,,,,0.0,,,0,0,,,,0,0,0,,Mark Brunell,BrunMa00
2009,39,NOR,QB,16,1,0-1-0,15,30,50.0,102,0,0.0,1,3.3,5,30.0,18,3.4,1.90,6.8,6.4,44.0,9.5,0,0,0.00,3.40,1.90,0,0,0,,Mark Brunell,BrunMa00
2010,40,NYJ,QB,2,0,,7,13,53.8,117,2,15.4,1,7.7,7,50.0,52,9.0,8.62,16.7,58.5,92.0,62.9,1,7,7.14,7.86,7.50,0,0,0,,Mark Brunell,BrunMa00
2011,41,NYJ,QB,16,0,,1,3,33.3,27,0,0.0,0,0.0,1,33.3,27,9.0,9.00,27.0,1.7,67.4,3.3,0,0,0.00,9.00,9.00,0,0,0,,Mark Brunell,BrunMa00
