Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2001,26,SEA,QB,13,12,92,83,93,87,86,77,112,76,88,,Matt Hasselbeck,HassMa00
2002,27,SEA,QB,16,10,114,116,115,115,116,95,114,104,113,,Matt Hasselbeck,HassMa00
2003,28,SEA,QB,16,16,113,109,113,110,105,112,104,93,111,PB,Matt Hasselbeck,HassMa00
2004,29,SEA,QB,14,14,105,107,105,107,98,107,100,104,103,,Matt Hasselbeck,HassMa00
2005,30,SEA,QB,16,16,114,116,119,120,119,115,119,110,122,PB,Matt Hasselbeck,HassMa00
2006,31,SEA,QB,12,12,95,91,94,91,88,110,85,88,93,,Matt Hasselbeck,HassMa00
2007,32,SEA,QB,16,16,104,105,110,110,107,111,114,104,113,PB,Matt Hasselbeck,HassMa00
2008,33,SEA,QB,7,7,79,78,73,73,70,81,74,84,70,,Matt Hasselbeck,HassMa00
2009,34,SEA,QB,14,14,86,87,86,87,97,92,92,99,90,,Matt Hasselbeck,HassMa00
2010,35,SEA,QB,14,14,95,96,89,90,98,82,88,100,88,,Matt Hasselbeck,HassMa00
2011,36,TEN,QB,16,16,96,102,96,100,103,91,102,122,97,,Matt Hasselbeck,HassMa00
2012,37,TEN,QB,8,5,81,83,88,89,106,87,108,104,95,,Matt Hasselbeck,HassMa00
2015,40,IND,QB,8,8,85,88,91,92,92,89,108,101,92,,Matt Hasselbeck,HassMa00
