Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1999,24,GNB,QB,16,0,,3,10,30.0,41,1,10.0,0,0.0,2,18.2,19,4.1,6.10,13.7,2.6,77.5,,1,9,9.09,2.91,4.73,0,0,0,,Matt Hasselbeck,HassMa00
2000,25,GNB,QB,16,0,,10,19,52.6,104,1,5.3,0,0.0,4,35.0,27,5.5,6.53,10.4,6.5,86.3,,1,2,5.00,5.10,6.10,0,0,0,,Matt Hasselbeck,HassMa00
2001,26,SEA,QB,13,12,5-7-0,176,321,54.8,2023,7,2.2,8,2.5,92,37.3,64,6.3,5.62,11.5,155.6,70.9,,38,251,10.58,4.94,4.32,0,2,7,,Matt Hasselbeck,HassMa00
2002,27,SEA,QB,16,10,5-5-0,267,419,63.7,3075,15,3.6,10,2.4,160,48.1,49,7.3,6.98,11.5,192.2,87.8,,26,143,5.84,6.59,6.25,1,3,11,,Matt Hasselbeck,HassMa00
2003,28,SEA,QB,16,16,10-6-0,313,513,61.0,3841,26,5.1,15,2.9,189,48.3,80,7.5,7.19,12.3,240.1,88.8,,42,246,7.57,6.48,6.20,2,3,15,PB,Matt Hasselbeck,HassMa00
2004,29,SEA,QB,14,14,7-7-0,279,474,58.9,3382,22,4.6,15,3.2,176,47.0,60,7.1,6.64,12.1,241.6,83.1,,30,155,5.95,6.40,5.94,0,0,11,,Matt Hasselbeck,HassMa00
2005,30,SEA,QB,16,16,13-3-0,294,449,65.5,3459,24,5.3,9,2.0,182,53.7,56,7.7,7.87,11.8,216.2,98.2,,24,154,5.07,6.99,7.15,2,2,15,PB,Matt Hasselbeck,HassMa00
2006,31,SEA,QB,12,12,7-5-0,210,371,56.6,2442,18,4.9,15,4.0,128,42.2,72,6.6,5.73,11.6,203.5,76.0,56.9,34,229,8.40,5.46,4.69,3,4,8,,Matt Hasselbeck,HassMa00
2007,32,SEA,QB,16,16,10-6-0,352,562,62.6,3966,28,5.0,12,2.1,204,49.2,65,7.1,7.09,11.3,247.9,91.4,54.4,33,204,5.55,6.32,6.36,2,2,11,PB,Matt Hasselbeck,HassMa00
2008,33,SEA,QB,7,7,1-6-0,109,209,52.2,1216,5,2.4,10,4.8,64,38.2,34,5.8,4.14,11.2,173.7,57.8,36.3,19,119,8.33,4.81,3.28,0,0,0,,Matt Hasselbeck,HassMa00
2009,34,SEA,QB,14,14,5-9-0,293,488,60.0,3029,17,3.5,17,3.5,148,41.3,53,6.2,5.34,10.3,216.4,75.1,34.0,32,209,6.15,5.42,4.61,0,1,7,,Matt Hasselbeck,HassMa00
2010,35,SEA,QB,14,14,6-8-0,266,444,59.9,3001,12,2.7,17,3.8,137,44.6,87,6.8,5.58,11.3,214.4,73.2,52.3,29,175,6.13,5.97,4.86,0,0,8,,Matt Hasselbeck,HassMa00
2011,36,TEN,QB,16,16,9-7-0,319,518,61.6,3571,18,3.5,14,2.7,163,42.3,80,6.9,6.37,11.2,223.2,82.4,51.4,19,153,3.54,6.36,5.86,2,3,9,,Matt Hasselbeck,HassMa00
2012,37,TEN,QB,8,5,2-3-0,138,221,62.4,1367,7,3.2,5,2.3,71,45.1,37,6.2,5.80,9.9,170.9,81.0,45.0,14,103,5.96,5.38,5.02,2,2,3,,Matt Hasselbeck,HassMa00
2013,38,IND,QB,3,0,,7,12,58.3,130,0,0.0,1,8.3,6,58.3,57,10.8,7.08,18.6,43.3,61.1,25.0,0,0,0.00,10.83,7.08,0,0,0,,Matt Hasselbeck,HassMa00
2014,39,IND,QB,4,0,,30,44,68.2,301,2,4.5,0,0.0,17,47.8,32,6.8,7.75,10.0,75.3,102.6,58.8,2,7,4.35,6.39,7.26,0,0,1,,Matt Hasselbeck,HassMa00
2015,40,IND,QB,8,8,5-3-0,156,256,60.9,1690,9,3.5,5,2.0,87,44.1,57,6.6,6.43,10.8,211.3,84.0,45.1,16,101,5.88,5.84,5.68,1,2,4,,Matt Hasselbeck,HassMa00
