Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec/G,Rec_Y/G,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1999,24,GNB,QB,16,0,6,15,0,1,16.7,13,2.5,0.9,0.4,0,0,0,0,0,0.0,0.0,6,2.5,15,0,1,,Matt Hasselbeck,HassMa00
2000,25,GNB,QB,16,0,4,-5,0,0,0.0,-1,-1.3,-0.3,0.3,0,0,0,0,0,0.0,0.0,4,-1.3,-5,0,0,,Matt Hasselbeck,HassMa00
2001,26,SEA,QB,13,12,40,141,0,14,40.0,17,3.5,10.8,3.1,0,0,0,0,0,0.0,0.0,40,3.5,141,0,6,,Matt Hasselbeck,HassMa00
2002,27,SEA,QB,16,10,40,202,1,17,65.0,21,5.1,12.6,2.5,0,0,0,0,0,0.0,0.0,40,5.1,202,1,5,,Matt Hasselbeck,HassMa00
2003,28,SEA,QB,16,16,36,125,2,10,38.9,18,3.5,7.8,2.3,0,0,0,0,0,0.0,0.0,36,3.5,125,2,4,PB,Matt Hasselbeck,HassMa00
2004,29,SEA,QB,14,14,27,90,1,6,29.6,19,3.3,6.4,1.9,0,0,0,0,0,0.0,0.0,27,3.3,90,1,5,,Matt Hasselbeck,HassMa00
2005,30,SEA,QB,16,16,36,124,1,8,38.9,23,3.4,7.8,2.3,0,0,0,0,0,0.0,0.0,36,3.4,124,1,4,PB,Matt Hasselbeck,HassMa00
2006,31,SEA,QB,12,12,18,110,0,8,55.6,19,6.1,9.2,1.5,0,0,0,0,0,0.0,0.0,18,6.1,110,0,3,,Matt Hasselbeck,HassMa00
2007,32,SEA,QB,16,16,39,89,0,9,35.9,12,2.3,5.6,2.4,0,0,0,0,0,0.0,0.0,39,2.3,89,0,9,PB,Matt Hasselbeck,HassMa00
2008,33,SEA,QB,7,7,11,69,0,5,81.8,15,6.3,9.9,1.6,0,0,0,0,0,0.0,0.0,11,6.3,69,0,1,,Matt Hasselbeck,HassMa00
2009,34,SEA,QB,14,14,26,119,0,5,38.5,23,4.6,8.5,1.9,0,0,0,0,0,0.0,0.0,26,4.6,119,0,11,,Matt Hasselbeck,HassMa00
2010,35,SEA,QB,14,14,23,60,3,7,43.5,20,2.6,4.3,1.6,0,0,0,0,0,0.0,0.0,23,2.6,60,3,7,,Matt Hasselbeck,HassMa00
2011,36,TEN,QB,16,16,20,52,0,4,30.0,21,2.6,3.3,1.3,0,0,0,0,0,0.0,0.0,20,2.6,52,0,4,,Matt Hasselbeck,HassMa00
2012,37,TEN,QB,8,5,13,38,0,2,23.1,16,2.9,4.8,1.6,0,0,0,0,0,0.0,0.0,13,2.9,38,0,3,,Matt Hasselbeck,HassMa00
2013,38,IND,QB,3,0,2,-2,0,0,0.0,-1,-1.0,-0.7,0.7,0,0,0,0,0,0.0,0.0,2,-1.0,-2,0,0,,Matt Hasselbeck,HassMa00
2014,39,IND,QB,4,0,8,-11,0,0,0.0,,-1.4,-2.8,2.0,0,0,0,0,0,0.0,0.0,8,-1.4,-11,0,1,,Matt Hasselbeck,HassMa00
2015,40,IND,QB,8,8,16,15,0,2,25.0,10,0.9,1.9,2.0,0,0,0,0,0,0.0,0.0,16,0.9,15,0,3,,Matt Hasselbeck,HassMa00
