Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2008,23,ATL,QB,16,16,119,121,114,116,100,96,107,116,106,AP ORoY-1,Matt Ryan,RyanMa00
2009,24,ATL,QB,14,14,90,97,95,99,91,109,97,115,97,,Matt Ryan,RyanMa00
2010,25,ATL,QB,16,16,90,96,102,105,106,107,119,118,108,PB,Matt Ryan,RyanMa00
2011,26,ATL,QB,16,16,106,110,110,113,102,109,111,115,110,,Matt Ryan,RyanMa00
2012,27,ATL,QB,16,16,111,114,112,114,128,110,108,117,117,PB,Matt Ryan,RyanMa00
2013,28,ATL,QB,16,16,95,96,96,96,122,95,100,101,104,,Matt Ryan,RyanMa00
2014,29,ATL,QB,16,16,107,110,106,108,115,99,106,113,107,PB,Matt Ryan,RyanMa00
2015,30,ATL,QB,16,16,107,110,99,102,113,87,96,111,99,,Matt Ryan,RyanMa00
2016,31,ATL,QB,16,16,148,142,145,141,128,133,119,97,140,"PB,AP-1,AP MVP-1,AP OPoY-1",Matt Ryan,RyanMa00
2017,32,ATL,QB,16,16,112,116,106,110,105,93,101,115,102,,Matt Ryan,RyanMa00
2018,33,ATL,QB,16,16,118,116,123,121,122,114,120,101,124,,Matt Ryan,RyanMa00
2019,34,ATL,QB,15,15,100,98,99,97,107,96,100,94,100,,Matt Ryan,RyanMa00
2020,35,ATL,QB,16,16,103,103,104,104,102,96,110,101,102,,Matt Ryan,RyanMa00
2021,36,ATL,QB,17,17,99,98,97,97,109,90,102,97,98,,Matt Ryan,RyanMa00
2022,37,IND,QB,12,12,90,86,85,84,111,85,89,92,90,,Matt Ryan,RyanMa00
