Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2008,23,ATL,QB,16,16,0,0,0,0,0,0,6,2,-13,0,0.0,0,0,0,,,0,AP ORoY-1,Matt Ryan,RyanMa00
2009,24,ATL,QB,14,14,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2010,25,ATL,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,,,0,PB,Matt Ryan,RyanMa00
2011,26,ATL,QB,16,16,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2012,27,ATL,QB,16,16,0,0,0,0,0,0,3,0,-2,0,0.0,0,0,0,0,0,0,PB,Matt Ryan,RyanMa00
2013,28,ATL,QB,16,16,0,0,0,0,0,0,5,1,-2,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2014,29,ATL,QB,16,16,0,0,0,0,0,0,5,0,-3,0,0.0,0,0,0,,,0,PB,Matt Ryan,RyanMa00
2015,30,ATL,QB,16,16,0,0,0,0,0,0,12,4,-24,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2016,31,ATL,QB,16,16,0,0,0,0,0,0,4,2,-3,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Matt Ryan,RyanMa00
2017,32,ATL,QB,16,16,0,0,0,0,0,0,4,1,-4,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2018,33,ATL,QB,16,16,0,0,0,0,0,0,10,2,0,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2019,34,ATL,QB,15,15,0,0,0,0,0,0,9,2,0,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2020,35,ATL,QB,16,16,0,0,0,0,0,0,6,1,-3,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2021,36,ATL,QB,17,17,0,0,0,0,0,0,11,3,-5,0,0.0,0,0,0,0,0,0,,Matt Ryan,RyanMa00
2022,37,IND,QB,12,12,0,0,0,0,0,0,15,3,-8,0,0.0,1,1,0,0,0,0,,Matt Ryan,RyanMa00
