Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2008,23,ATL,QB,16,16,55,104,1,13,30.9,17,1.9,6.5,3.4,0,0,0,,0,0,,,0.0,0.0,,,55,1.9,104,1,6,AP ORoY-1,Matt Ryan,RyanMa00
2009,24,ATL,QB,14,14,30,49,1,9,43.3,7,1.6,3.5,2.1,0,0,0,,0,0,,,0.0,0.0,,,30,1.6,49,1,5,,Matt Ryan,RyanMa00
2010,25,ATL,QB,16,16,46,122,0,10,34.8,20,2.7,7.6,2.9,0,0,0,,0,0,,,0.0,0.0,,,46,2.7,122,0,4,PB,Matt Ryan,RyanMa00
2011,26,ATL,QB,16,16,37,84,2,11,35.1,12,2.3,5.3,2.3,0,0,0,,0,0,,,0.0,0.0,,,37,2.3,84,2,5,,Matt Ryan,RyanMa00
2012,27,ATL,QB,16,16,34,141,1,8,44.1,16,4.1,8.8,2.1,0,0,0,,0,0,,,0.0,0.0,,,34,4.1,141,1,3,PB,Matt Ryan,RyanMa00
2013,28,ATL,QB,16,16,17,55,0,5,35.3,17,3.2,3.4,1.1,0,0,0,,0,0,,,0.0,0.0,,,17,3.2,55,0,5,,Matt Ryan,RyanMa00
2014,29,ATL,QB,16,16,29,145,0,10,58.6,15,5.0,9.1,1.8,0,0,0,,0,0,,,0.0,0.0,,,29,5.0,145,0,5,PB,Matt Ryan,RyanMa00
2015,30,ATL,QB,16,16,36,63,0,9,33.3,18,1.8,3.9,2.3,0,0,0,,0,0,,,0.0,0.0,,,36,1.8,63,0,12,,Matt Ryan,RyanMa00
2016,31,ATL,QB,16,16,35,117,0,13,42.9,18,3.3,7.3,2.2,0,0,0,,0,0,,,0.0,0.0,,,35,3.3,117,0,4,"PB,AP-1,AP MVP-1,AP OPoY-1",Matt Ryan,RyanMa00
2017,32,ATL,QB,16,16,32,143,0,11,50.0,16,4.5,8.9,2.0,0,0,0,,0,0,,,0.0,0.0,,,32,4.5,143,0,4,,Matt Ryan,RyanMa00
2018,33,ATL,QB,16,16,33,125,3,15,57.6,15,3.8,7.8,2.1,1,1,5,5.0,1,1,100.0,5,0.1,0.3,100.0,5.0,34,3.8,130,4,10,,Matt Ryan,RyanMa00
2019,34,ATL,QB,15,15,34,147,1,10,50.0,12,4.3,9.8,2.3,0,0,0,,0,0,,,0.0,0.0,,,34,4.3,147,1,9,,Matt Ryan,RyanMa00
2020,35,ATL,QB,16,16,29,92,2,8,37.9,16,3.2,5.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,29,3.2,92,2,6,,Matt Ryan,RyanMa00
2021,36,ATL,QB,17,17,40,82,1,9,30.0,17,2.1,4.8,2.4,0,0,0,,0,0,,,0.0,0.0,,,40,2.1,82,1,11,,Matt Ryan,RyanMa00
2022,37,IND,QB,12,12,27,70,1,9,37.0,39,2.6,5.8,2.3,0,0,0,,0,0,,,0.0,0.0,,,27,2.6,70,1,15,,Matt Ryan,RyanMa00
