Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2009,21,DET,QB,10,10,82,83,74,75,74,92,66,100,72,,Matthew Stafford,StafMa00
2010,22,DET,QB,3,3,74,79,97,100,96,123,126,117,108,,Matthew Stafford,StafMa00
2011,23,DET,QB,16,16,110,112,114,115,110,121,107,109,116,AP CPoY-1,Matthew Stafford,StafMa00
2012,24,DET,QB,16,16,94,101,95,99,97,83,107,121,93,,Matthew Stafford,StafMa00
2013,25,DET,QB,16,16,105,112,101,106,88,102,94,123,97,,Matthew Stafford,StafMa00
2014,26,DET,QB,16,16,97,97,99,99,92,90,110,95,96,PB,Matthew Stafford,StafMa00
2015,27,DET,QB,16,16,100,98,104,103,117,112,103,93,111,,Matthew Stafford,StafMa00
2016,28,DET,QB,16,16,103,104,105,106,110,96,112,102,106,,Matthew Stafford,StafMa00
2017,29,DET,QB,16,16,114,109,115,111,108,108,110,90,113,,Matthew Stafford,StafMa00
2018,30,DET,QB,16,16,92,93,95,96,110,93,106,99,100,,Matthew Stafford,StafMa00
2019,31,DET,QB,8,8,126,123,126,124,99,119,110,105,118,,Matthew Stafford,StafMa00
2020,32,DET,QB,16,16,111,109,111,109,98,103,107,96,106,,Matthew Stafford,StafMa00
2021,33,LAR,QB,17,17,120,121,116,116,110,123,89,110,115,,Matthew Stafford,StafMa00
2022,34,LAR,QB,9,9,96,89,91,88,116,88,93,84,96,,Matthew Stafford,StafMa00
2023,35,LAR,QB,15,15,113,114,112,114,91,106,104,110,106,"PB,AP MVP-8,AP CPoY-4",Matthew Stafford,StafMa00
2024,36,LAR,QB,16,16,104,107,106,108,103,95,114,113,105,,Matthew Stafford,StafMa00
2025,37,LAR,QB,14,14,118,123,129,132,106,140,118,120,130,,Matthew Stafford,StafMa00
