Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,24,DET,QB,9,16,16,1180,98%,0,0%,0,0%,Matthew Stafford,StafMa00
2013,25,DET,QB,9,16,16,1133,100%,0,0%,0,0%,Matthew Stafford,StafMa00
2015,27,DET,QB,9,16,16,1033,96%,0,0%,0,0%,Matthew Stafford,StafMa00
2016,28,DET,QB,9,16,16,1037,100%,0,0%,0,0%,Matthew Stafford,StafMa00
2017,29,DET,QB,9,16,16,1032,99%,0,0%,0,0%,Matthew Stafford,StafMa00
2018,30,DET,QB,9,16,16,1052,98%,0,0%,0,0%,Matthew Stafford,StafMa00
2019,31,DET,QB,9,8,8,542,100%,0,0%,0,0%,Matthew Stafford,StafMa00
2020,32,DET,QB,9,16,16,966,92%,0,0%,0,0%,Matthew Stafford,StafMa00
2021,33,LAR,QB,9,17,17,1065,98%,0,0%,0,0%,Matthew Stafford,StafMa00
2022,34,LAR,QB,9,9,9,534,95%,0,0%,0,0%,Matthew Stafford,StafMa00
2024,36,LAR,QB,9,16,16,1024,100%,0,0%,0,0%,Matthew Stafford,StafMa00
2025,37,LAR,QB,9,14,14,888,98%,0,0%,0,0%,Matthew Stafford,StafMa00
