Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2006,25,SDG,QB,16,16,111,112,116,116,105,109,119,106,115,PB,Philip Rivers,RivePh00
2007,26,SDG,QB,16,16,99,102,100,102,98,106,96,110,101,,Philip Rivers,RivePh00
2008,27,SDG,QB,16,16,127,126,129,128,114,134,110,107,127,"AP MVP-6,AP OPoY-4,AP CPoY-8",Philip Rivers,RivePh00
2009,28,SDG,QB,16,16,133,132,131,131,115,120,115,109,126,"PB,AP MVP-3,AP OPoY-4",Philip Rivers,RivePh00
2010,29,SDG,QB,16,16,128,125,124,122,117,115,108,97,120,"PB,AP OPoY-4",Philip Rivers,RivePh00
2011,30,SDG,QB,16,16,117,119,109,110,108,104,90,111,105,PB,Philip Rivers,RivePh00
2012,31,SDG,QB,16,16,94,90,97,94,112,107,99,83,104,,Philip Rivers,RivePh00
2013,32,SDG,QB,16,16,126,127,123,124,130,117,111,109,124,"PB,AP CPoY-1",Philip Rivers,RivePh00
2014,33,SDG,QB,16,16,108,109,103,105,117,111,90,103,107,,Philip Rivers,RivePh00
2015,34,SDG,QB,16,16,101,102,103,104,113,99,108,103,106,,Philip Rivers,RivePh00
2016,35,SDG,QB,16,16,110,111,102,103,91,116,77,102,99,PB,Philip Rivers,RivePh00
2017,36,LAC,QB,16,16,114,121,114,119,97,105,110,124,108,PB,Philip Rivers,RivePh00
2018,37,LAC,QB,16,16,125,124,122,122,118,120,100,105,120,PB,Philip Rivers,RivePh00
2019,38,LAC,QB,16,16,110,112,98,100,106,92,81,107,95,,Philip Rivers,RivePh00
2020,39,IND,QB,16,16,110,117,108,113,115,98,105,123,107,,Philip Rivers,RivePh00
2025,44,IND,QB,3,3,75,81,75,79,93,97,81,112,82,,Philip Rivers,RivePh00
