Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2004,23,SDG,QB,2,0,,5,8,62.5,33,1,12.5,0,0.0,3,37.5,13,4.1,6.63,6.6,16.5,110.9,,0,0,0.00,4.13,6.63,0,0,0,,Philip Rivers,RivePh00
2005,24,SDG,QB,2,0,,12,22,54.5,115,0,0.0,1,4.5,6,40.0,22,5.2,3.18,9.6,57.5,50.4,,3,16,12.00,3.96,2.16,0,0,0,,Philip Rivers,RivePh00
2006,25,SDG,QB,16,16,14-2-0,284,460,61.7,3388,22,4.8,9,2.0,167,46.8,57,7.4,7.44,11.9,211.8,92.0,67.4,27,144,5.54,6.66,6.73,4,4,18,PB,Philip Rivers,RivePh00
2007,26,SDG,QB,16,16,11-5-0,277,460,60.2,3152,21,4.6,15,3.3,157,44.2,49,6.9,6.30,11.4,197.0,82.4,54.5,22,163,4.56,6.20,5.67,1,1,13,,Philip Rivers,RivePh00
2008,27,SDG,QB,16,16,8-8-0,312,478,65.3,4009,34,7.1,11,2.3,191,51.7,67,8.4,8.77,12.8,250.6,105.5,63.2,25,151,4.97,7.67,8.04,3,4,17,"AP MVP-6,AP OPoY-4,AP CPoY-8",Philip Rivers,RivePh00
2009,28,SDG,QB,16,16,13-3-0,317,486,65.2,4254,28,5.8,9,1.9,208,50.7,81,8.8,9.07,13.4,265.9,104.4,77.2,25,167,4.89,8.00,8.30,2,4,19,"PB,AP MVP-3,AP OPoY-4",Philip Rivers,RivePh00
2010,29,SDG,QB,16,16,9-7-0,357,541,66.0,4710,30,5.5,13,2.4,234,49.9,59,8.7,8.73,13.2,294.4,101.8,66.9,38,227,6.56,7.74,7.77,1,1,17,"PB,AP OPoY-4",Philip Rivers,RivePh00
2011,30,SDG,QB,16,16,8-8-0,366,582,62.9,4624,27,4.6,20,3.4,234,49.3,58,7.9,7.33,12.6,289.0,88.7,64.9,30,198,4.90,7.23,6.64,1,1,17,PB,Philip Rivers,RivePh00
2012,31,SDG,QB,16,16,7-9-0,338,527,64.1,3606,26,4.9,15,2.8,184,44.1,80,6.8,6.55,10.7,225.4,88.6,42.6,49,311,8.51,5.72,5.45,0,0,10,,Philip Rivers,RivePh00
2013,32,SDG,QB,16,16,9-7-0,378,544,69.5,4478,32,5.9,11,2.0,233,55.7,60,8.2,8.50,11.8,279.9,105.5,75.1,30,150,5.23,7.54,7.79,4,4,16,"PB,AP CPoY-1",Philip Rivers,RivePh00
2014,33,SDG,QB,16,16,9-7-0,379,570,66.5,4286,31,5.4,18,3.2,213,49.8,59,7.5,7.19,11.3,267.9,93.8,65.1,36,189,5.94,6.76,6.45,3,3,13,,Philip Rivers,RivePh00
2015,34,SDG,QB,16,16,4-12-0,437,661,66.1,4792,29,4.4,13,2.0,227,48.2,80,7.2,7.24,11.0,299.5,93.8,57.3,40,264,5.71,6.46,6.45,1,2,12,,Philip Rivers,RivePh00
2016,35,SDG,QB,16,16,5-11-0,349,578,60.4,4386,33,5.7,21,3.6,215,46.6,59,7.6,7.10,12.6,274.1,87.9,58.7,36,188,5.86,6.84,6.37,1,1,13,PB,Philip Rivers,RivePh00
2017,36,LAC,QB,16,16,9-7-0,360,575,62.6,4515,28,4.9,10,1.7,217,46.4,75,7.9,8.04,12.5,282.2,96.0,61.3,18,120,3.04,7.41,7.60,2,2,13,PB,Philip Rivers,RivePh00
2018,37,LAC,QB,16,16,12-4-0,347,508,68.3,4308,32,6.3,12,2.4,211,52.0,75,8.5,8.68,12.4,269.3,105.5,67.8,32,204,5.93,7.60,7.79,3,3,14,PB,Philip Rivers,RivePh00
2019,38,LAC,QB,16,16,5-11-0,390,591,66.0,4615,23,3.9,20,3.4,217,49.6,84,7.8,7.06,11.8,288.4,88.5,50.5,34,222,5.44,7.03,6.32,1,2,13,,Philip Rivers,RivePh00
2020,39,IND,QB,16,16,11-5-0,369,543,68.0,4169,24,4.4,11,2.0,200,51.1,55,7.7,7.65,11.3,260.6,97.0,55.0,19,118,3.38,7.21,7.18,2,3,13,,Philip Rivers,RivePh00
2025,44,IND,QB,3,3,0-3-0,58,92,63.0,544,4,4.3,3,3.3,30,43.3,33,5.9,5.32,9.4,181.3,80.2,39.7,5,37,5.15,5.23,4.66,0,0,2,,Philip Rivers,RivePh00
