Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2004,23,SDG,QB,2,0,4,-5,0,0,0.0,-1,-1.3,-2.5,2.0,0,0,0,0,0,,,0.0,0.0,,,4,-1.3,-5,0,1,,Philip Rivers,RivePh00
2005,24,SDG,QB,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0.5,0,0,0,0,0,,,0.0,0.0,,,1,-1.0,-1,0,2,,Philip Rivers,RivePh00
2006,25,SDG,QB,16,16,48,49,0,8,25.0,15,1.0,3.1,3.0,0,0,0,0,0,,,0.0,0.0,,,48,1.0,49,0,8,PB,Philip Rivers,RivePh00
2007,26,SDG,QB,16,16,29,33,1,9,37.9,10,1.1,2.1,1.8,0,0,0,0,0,,,0.0,0.0,,,29,1.1,33,1,11,,Philip Rivers,RivePh00
2008,27,SDG,QB,16,16,31,84,0,12,58.1,11,2.7,5.3,1.9,0,0,0,0,0,,,0.0,0.0,,,31,2.7,84,0,8,"AP MVP-6,AP OPoY-4,AP CPoY-8",Philip Rivers,RivePh00
2009,28,SDG,QB,16,16,26,50,1,5,23.1,15,1.9,3.1,1.6,0,0,0,0,0,,,0.0,0.0,,,26,1.9,50,1,6,"PB,AP MVP-3,AP OPoY-4",Philip Rivers,RivePh00
2010,29,SDG,QB,16,16,29,52,0,6,31.0,14,1.8,3.3,1.8,0,0,0,0,0,,,0.0,0.0,,,29,1.8,52,0,7,"PB,AP OPoY-4",Philip Rivers,RivePh00
2011,30,SDG,QB,16,16,26,36,1,6,26.9,15,1.4,2.3,1.6,0,0,0,0,0,,,0.0,0.0,,,26,1.4,36,1,9,PB,Philip Rivers,RivePh00
2012,31,SDG,QB,16,16,27,40,0,2,14.8,11,1.5,2.5,1.7,1,0,0,0,0,0.0,,0.0,0.0,0.0,0.0,27,1.5,40,0,15,,Philip Rivers,RivePh00
2013,32,SDG,QB,16,16,28,72,0,5,32.1,18,2.6,4.5,1.8,1,0,-9,0,0,0.0,-9,0.0,-0.6,0.0,-9.0,28,2.3,63,0,3,"PB,AP CPoY-1",Philip Rivers,RivePh00
2014,33,SDG,QB,16,16,37,102,0,11,27.0,17,2.8,6.4,2.3,0,0,0,0,0,,,0.0,0.0,,,37,2.8,102,0,8,,Philip Rivers,RivePh00
2015,34,SDG,QB,16,16,17,28,0,2,17.6,8,1.6,1.8,1.1,0,0,0,0,0,,,0.0,0.0,,,17,1.6,28,0,4,,Philip Rivers,RivePh00
2016,35,SDG,QB,16,16,14,35,0,3,35.7,10,2.5,2.2,0.9,0,0,0,0,0,,,0.0,0.0,,,14,2.5,35,0,9,PB,Philip Rivers,RivePh00
2017,36,LAC,QB,16,16,18,-2,0,1,11.1,8,-0.1,-0.1,1.1,0,0,0,0,0,,,0.0,0.0,,,18,-0.1,-2,0,8,PB,Philip Rivers,RivePh00
2018,37,LAC,QB,16,16,18,7,0,1,16.7,7,0.4,0.4,1.1,0,0,0,0,0,,,0.0,0.0,,,18,0.4,7,0,2,PB,Philip Rivers,RivePh00
2019,38,LAC,QB,16,16,12,29,0,2,25.0,12,2.4,1.8,0.8,0,0,0,0,0,,,0.0,0.0,,,12,2.4,29,0,8,,Philip Rivers,RivePh00
2020,39,IND,QB,16,16,18,-8,0,0,0.0,3,-0.4,-0.5,1.1,0,0,0,0,0,,,0.0,0.0,,,18,-0.4,-8,0,2,,Philip Rivers,RivePh00
2025,44,IND,QB,3,3,2,-1,0,0,0.0,,-0.5,-0.3,0.7,0,0,0,0,0,,,0.0,0.0,,,2,-0.5,-1,0,2,,Philip Rivers,RivePh00
