Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1985,22,PHI,QB,6,4,94,62,54,43,51,67,22,29,41,,Randall Cunningham,CunnRa00
1986,23,PHI,QB,15,5,92,44,99,68,92,96,109,-4,98,,Randall Cunningham,CunnRa00
1987,24,PHI,QB,12,12,98,87,109,100,100,116,114,73,111,,Randall Cunningham,CunnRa00
1988,25,PHI,QB,16,16,95,89,104,99,96,102,114,87,104,"PB,AP-2,AP MVP-2,AP OPoY-3",Randall Cunningham,CunnRa00
1989,26,PHI,QB,16,16,87,86,97,96,97,99,113,95,100,PB,Randall Cunningham,CunnRa00
1990,27,PHI,QB,16,16,110,98,119,109,107,129,112,84,122,"PB,AP MVP-2,AP OPoY-2",Randall Cunningham,CunnRa00
1992,29,PHI,QB,15,15,108,90,113,99,110,115,110,60,115,AP-2,Randall Cunningham,CunnRa00
1993,30,PHI,QB,4,4,119,120,108,110,133,110,83,105,115,,Randall Cunningham,CunnRa00
1994,31,PHI,QB,14,14,97,90,99,95,87,93,107,88,95,,Randall Cunningham,CunnRa00
1995,32,PHI,QB,7,4,57,54,62,60,97,82,84,76,76,,Randall Cunningham,CunnRa00
1997,34,MIN,QB,6,3,80,78,87,85,74,130,82,98,92,,Randall Cunningham,CunnRa00
1998,35,MIN,QB,15,14,135,140,136,140,117,141,112,116,134,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-2",Randall Cunningham,CunnRa00
1999,36,MIN,QB,6,6,110,108,100,100,118,100,84,100,101,,Randall Cunningham,CunnRa00
2000,37,DAL,QB,6,3,101,104,104,105,104,111,102,106,106,,Randall Cunningham,CunnRa00
2001,38,BAL,QB,6,2,94,84,100,93,106,93,116,68,103,,Randall Cunningham,CunnRa00
