Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1990,25,MIN,QB,14,12,89,89,89,89,84,107,86,88,89,,Rich Gannon,GannRi00
1991,26,MIN,QB,15,11,83,93,99,104,109,94,129,113,107,,Rich Gannon,GannRi00
1992,27,MIN,QB,12,12,100,97,95,93,98,107,83,93,96,,Rich Gannon,GannRi00
1993,28,WAS,QB,8,4,78,73,67,66,104,82,67,71,77,,Rich Gannon,GannRi00
1996,31,KAN,QB,4,3,69,74,103,104,110,135,132,109,121,,Rich Gannon,GannRi00
1997,32,KAN,QB,9,6,96,97,103,103,97,100,113,101,103,,Rich Gannon,GannRi00
1998,33,KAN,QB,12,10,95,97,102,103,106,88,121,103,103,,Rich Gannon,GannRi00
1999,34,OAK,QB,16,16,111,108,111,110,106,107,108,90,110,PB,Rich Gannon,GannRi00
2000,35,OAK,QB,16,16,109,114,118,121,108,124,116,108,120,"PB,AP-1,AP MVP-4,AP OPoY-5",Rich Gannon,GannRi00
2001,36,OAK,QB,16,16,104,109,116,119,123,114,125,113,124,PB,Rich Gannon,GannRi00
2002,37,OAK,QB,16,16,120,121,126,126,130,104,127,107,128,"PB,AP-1,AP MVP-1,AP OPoY-3",Rich Gannon,GannRi00
2003,38,OAK,QB,7,7,79,81,90,90,87,82,124,96,91,,Rich Gannon,GannRi00
2004,39,OAK,QB,3,3,115,117,113,114,103,104,104,98,108,,Rich Gannon,GannRi00
