Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,safety_md,Awards,Player,PlayerID
1990,25,MIN,QB,14,12,0,0,0,0,,0,10,6,-3,0,0.0,0,0,0,,0,,Rich Gannon,GannRi00
1991,26,MIN,QB,15,11,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,,0,,Rich Gannon,GannRi00
1992,27,MIN,QB,12,12,0,0,0,0,,0,5,0,0,0,0.0,0,0,0,,0,,Rich Gannon,GannRi00
1993,28,WAS,QB,8,4,0,0,0,0,,0,3,1,0,0,0.0,0,0,0,,0,,Rich Gannon,GannRi00
1996,31,KAN,QB,4,3,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,,0,,Rich Gannon,GannRi00
1997,32,KAN,QB,9,6,0,0,0,0,,0,5,0,0,0,0.0,0,0,0,,0,,Rich Gannon,GannRi00
1998,33,KAN,QB,12,10,0,0,0,0,,0,9,4,-15,0,0.0,0,0,0,,0,,Rich Gannon,GannRi00
1999,34,OAK,QB,16,16,0,0,0,0,0,0,8,1,-5,0,0.0,0,0,0,0,0,PB,Rich Gannon,GannRi00
2000,35,OAK,QB,16,16,0,0,0,0,0,0,9,2,-1,0,0.0,0,0,0,0,0,"PB,AP-1,AP MVP-4,AP OPoY-5",Rich Gannon,GannRi00
2001,36,OAK,QB,16,16,0,0,0,0,0,0,13,3,-8,0,0.0,0,0,0,0,0,PB,Rich Gannon,GannRi00
2002,37,OAK,QB,16,16,0,0,0,0,0,0,9,3,-5,0,0.0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-3",Rich Gannon,GannRi00
2003,38,OAK,QB,7,7,0,0,0,0,0,0,2,0,0,0,0.0,,,,,0,,Rich Gannon,GannRi00
2004,39,OAK,QB,3,3,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,,Rich Gannon,GannRi00
