Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1987,22,MIN,QB,4,0,,2,6,33.3,18,0,0.0,1,16.7,1,33.3,12,3.0,-4.50,9.0,4.5,2.8,0,0,0.00,3.00,-4.50,0,0,0,,Rich Gannon,GannRi00
1988,23,MIN,QB,3,0,,7,15,46.7,90,0,0.0,0,0.0,5,33.3,19,6.0,6.00,12.9,30.0,66.0,3,22,16.67,3.78,3.78,0,0,0,,Rich Gannon,GannRi00
1989,24,MIN,QB,0,0,,0,0,,0,0,,0,,0,,,,,,,,0,0,,,,0,0,0,,Rich Gannon,GannRi00
1990,25,MIN,QB,14,12,5-7-0,182,349,52.1,2278,16,4.6,16,4.6,105,38.9,78,6.5,5.38,12.5,162.7,68.9,34,188,8.88,5.46,4.41,2,2,8,,Rich Gannon,GannRi00
1991,26,MIN,QB,15,11,6-5-0,211,354,59.6,2166,12,3.4,6,1.7,117,43.4,50,6.1,6.03,10.3,144.4,81.5,19,91,5.09,5.56,5.48,0,1,10,,Rich Gannon,GannRi00
1992,27,MIN,QB,12,12,8-4-0,159,279,57.0,1905,12,4.3,13,4.7,94,41.1,60,6.8,5.59,12.0,158.8,72.9,25,177,8.22,5.68,4.55,2,2,8,,Rich Gannon,GannRi00
1993,28,WAS,QB,8,4,1-3-0,74,125,59.2,704,3,2.4,7,5.6,36,40.4,54,5.6,3.59,9.5,88.0,59.5,16,87,11.35,4.38,2.57,0,0,2,,Rich Gannon,GannRi00
1995,30,KAN,QB,2,0,,7,11,63.6,57,0,0.0,0,0.0,3,27.3,18,5.2,5.18,8.1,28.5,76.7,0,0,0.00,5.18,5.18,0,0,0,,Rich Gannon,GannRi00
1996,31,KAN,QB,4,3,1-2-0,54,90,60.0,491,6,6.7,1,1.1,32,46.3,25,5.5,6.29,9.1,122.8,92.4,5,42,5.26,4.73,5.52,1,1,2,,Rich Gannon,GannRi00
1997,32,KAN,QB,9,6,5-1-0,98,175,56.0,1144,7,4.0,4,2.3,58,40.4,47,6.5,6.31,11.7,127.1,79.8,13,86,6.91,5.63,5.41,1,1,5,,Rich Gannon,GannRi00
1998,33,KAN,QB,12,10,5-5-0,206,354,58.2,2305,10,2.8,6,1.7,104,40.1,80,6.5,6.31,11.2,192.1,80.1,25,155,6.60,5.67,5.49,1,1,9,,Rich Gannon,GannRi00
1999,34,OAK,QB,16,16,8-8-0,304,515,59.0,3840,24,4.7,14,2.7,195,44.7,50,7.5,7.17,12.6,240.0,86.5,49,241,8.69,6.38,6.12,3,3,16,PB,Rich Gannon,GannRi00
2000,35,OAK,QB,16,16,12-4-0,284,473,60.0,3430,28,5.9,11,2.3,177,46.5,84,7.3,7.39,12.1,214.4,92.4,28,124,5.59,6.60,6.73,3,4,20,"PB,AP-1,AP MVP-4,AP OPoY-5",Rich Gannon,GannRi00
2001,36,OAK,QB,16,16,10-6-0,361,549,65.8,3828,27,4.9,9,1.6,195,49.8,49,7.0,7.22,10.6,239.3,95.5,27,155,4.69,6.38,6.61,1,2,16,PB,Rich Gannon,GannRi00
2002,37,OAK,QB,16,16,11-5-0,418,618,67.6,4689,26,4.2,10,1.6,227,54.1,75,7.6,7.70,11.2,293.1,97.3,36,214,5.50,6.84,6.95,1,1,17,"PB,AP-1,AP MVP-1,AP OPoY-3",Rich Gannon,GannRi00
2003,38,OAK,QB,7,7,2-5-0,125,225,55.6,1274,6,2.7,4,1.8,53,38.0,46,5.7,5.40,10.2,182.0,73.5,17,90,7.02,4.89,4.64,1,2,3,,Rich Gannon,GannRi00
2004,39,OAK,QB,3,3,2-1-0,41,68,60.3,524,3,4.4,2,2.9,23,46.6,58,7.7,7.26,12.8,174.7,86.9,5,17,6.85,6.95,6.53,0,0,2,,Rich Gannon,GannRi00
