Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1988,23,MIN,QB,3,0,4,29,0,1,50.0,15,7.3,9.7,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,7.3,29,0,0,,Rich Gannon,GannRi00
1990,25,MIN,QB,14,12,52,268,1,17,46.2,27,5.2,19.1,3.7,0,0,0,,0,0,,,0.0,0.0,,,52,5.2,268,1,10,,Rich Gannon,GannRi00
1991,26,MIN,QB,15,11,43,236,2,12,51.2,42,5.5,15.7,2.9,1,1,0,0.0,0,0,0.0,,0.1,0.0,100.0,0.0,44,5.4,236,2,2,,Rich Gannon,GannRi00
1992,27,MIN,QB,12,12,45,187,0,8,46.7,14,4.2,15.6,3.8,0,0,0,,0,0,,,0.0,0.0,,,45,4.2,187,0,5,,Rich Gannon,GannRi00
1993,28,WAS,QB,8,4,21,88,1,3,33.3,12,4.2,11.0,2.6,0,0,0,,0,0,,,0.0,0.0,,,21,4.2,88,1,3,,Rich Gannon,GannRi00
1995,30,KAN,QB,2,0,8,25,1,1,25.0,12,3.1,12.5,4.0,0,0,0,,0,0,,,0.0,0.0,,,8,3.1,25,1,0,,Rich Gannon,GannRi00
1996,31,KAN,QB,4,3,12,81,0,7,66.7,19,6.8,20.3,3.0,0,0,0,,0,0,,,0.0,0.0,,,12,6.8,81,0,1,,Rich Gannon,GannRi00
1997,32,KAN,QB,9,6,33,109,2,8,39.4,13,3.3,12.1,3.7,0,0,0,,0,0,,,0.0,0.0,,,33,3.3,109,2,5,,Rich Gannon,GannRi00
1998,33,KAN,QB,12,10,44,168,3,13,38.6,21,3.8,14.0,3.7,0,0,0,,0,0,,,0.0,0.0,,,44,3.8,168,3,9,,Rich Gannon,GannRi00
1999,34,OAK,QB,16,16,46,298,2,16,45.7,39,6.5,18.6,2.9,1,1,-3,-3.0,0,0,0.0,-3,0.1,-0.2,100.0,-3.0,47,6.3,295,2,8,PB,Rich Gannon,GannRi00
2000,35,OAK,QB,16,16,89,529,4,35,58.4,23,5.9,33.1,5.6,0,0,0,,0,0,,,0.0,0.0,,,89,5.9,529,4,9,"PB,AP-1,AP MVP-4,AP OPoY-5",Rich Gannon,GannRi00
2001,36,OAK,QB,16,16,63,231,2,19,39.7,17,3.7,14.4,3.9,0,0,0,,0,0,,,0.0,0.0,,,63,3.7,231,2,13,PB,Rich Gannon,GannRi00
2002,37,OAK,QB,16,16,50,156,3,11,36.0,24,3.1,9.8,3.1,0,0,0,,0,0,,,0.0,0.0,,,50,3.1,156,3,9,"PB,AP-1,AP MVP-1,AP OPoY-3",Rich Gannon,GannRi00
2003,38,OAK,QB,7,7,6,18,0,1,33.3,6,3.0,2.6,0.9,0,0,0,,0,0,,,0.0,0.0,,,6,3.0,18,0,2,,Rich Gannon,GannRi00
2004,39,OAK,QB,3,3,5,26,0,1,20.0,20,5.2,8.7,1.7,0,0,0,,0,0,,,0.0,0.0,,,5,5.2,26,0,3,,Rich Gannon,GannRi00
