Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2012,24,SEA,QB,16,16,116,111,117,114,112,125,103,89,118,"PB,AP ORoY-3",Russell Wilson,WilsRu00
2013,25,SEA,QB,16,16,127,112,124,115,106,123,107,73,119,"PB,AP OPoY-4",Russell Wilson,WilsRu00
2014,26,SEA,QB,16,16,112,105,113,109,103,99,117,84,109,PB,Russell Wilson,WilsRu00
2015,27,SEA,QB,16,16,127,117,130,123,121,131,113,80,131,"PB,AP OPoY-3",Russell Wilson,WilsRu00
2016,28,SEA,QB,16,16,113,108,109,106,108,94,106,92,105,,Russell Wilson,WilsRu00
2017,29,SEA,QB,16,16,100,97,107,104,93,119,106,93,108,PB,Russell Wilson,WilsRu00
2018,30,SEA,QB,16,16,117,103,126,115,108,140,112,69,128,PB,Russell Wilson,WilsRu00
2019,31,SEA,QB,16,16,113,106,121,115,106,113,123,85,119,"PB,AP-2,AP OPoY-4",Russell Wilson,WilsRu00
2020,32,SEA,QB,16,16,107,103,112,108,119,126,99,88,118,PB,Russell Wilson,WilsRu00
2021,33,SEA,QB,14,14,113,106,118,112,99,117,115,90,115,PB,Russell Wilson,WilsRu00
2022,34,DEN,QB,15,15,105,93,101,93,81,88,101,73,91,,Russell Wilson,WilsRu00
2023,35,DEN,QB,15,15,97,93,107,102,110,122,112,84,116,,Russell Wilson,WilsRu00
2024,36,PIT,QB,11,11,106,100,111,106,95,105,115,86,107,"PB,AP CPoY-14",Russell Wilson,WilsRu00
2025,37,NYG,QB,6,3,98,96,90,89,74,75,94,94,78,,Russell Wilson,WilsRu00
