Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2012,24,SEA,QB,16,16,94,489,4,29,55.3,25,5.2,30.6,5.9,0,0,0,,0,0,,,0.0,0.0,,,94,5.2,489,4,6,"PB,AP ORoY-3",Russell Wilson,WilsRu00
2013,25,SEA,QB,16,16,96,539,1,31,47.9,27,5.6,33.7,6.0,0,0,0,,0,0,,,0.0,0.0,,,96,5.6,539,1,10,"PB,AP OPoY-4",Russell Wilson,WilsRu00
2014,26,SEA,QB,16,16,118,849,6,47,54.2,55,7.2,53.1,7.4,1,1,17,17.0,0,1,100.0,17,0.1,1.1,100.0,17.0,119,7.3,866,6,11,PB,Russell Wilson,WilsRu00
2015,27,SEA,QB,16,16,103,553,1,31,56.3,24,5.4,34.6,6.4,0,0,0,,0,0,,,0.0,0.0,,,103,5.4,553,1,7,"PB,AP OPoY-3",Russell Wilson,WilsRu00
2016,28,SEA,QB,16,16,72,259,1,18,43.1,18,3.6,16.2,4.5,2,2,14,7.0,1,1,50.0,15,0.1,0.9,100.0,7.0,74,3.7,273,2,8,,Russell Wilson,WilsRu00
2017,29,SEA,QB,16,16,95,586,3,36,50.5,31,6.2,36.6,5.9,0,0,0,,0,0,,,0.0,0.0,,,95,6.2,586,3,14,PB,Russell Wilson,WilsRu00
2018,30,SEA,QB,16,16,67,376,0,23,50.7,40,5.6,23.5,4.2,1,1,-11,-11.0,0,0,0.0,-11,0.1,-0.7,100.0,-11.0,68,5.4,365,0,10,PB,Russell Wilson,WilsRu00
2019,31,SEA,QB,16,16,75,342,3,17,41.3,21,4.6,21.4,4.7,0,0,0,,0,0,,,0.0,0.0,,,75,4.6,342,3,8,"PB,AP-2,AP OPoY-4",Russell Wilson,WilsRu00
2020,32,SEA,QB,16,16,83,513,2,25,50.6,38,6.2,32.1,5.2,0,0,0,,0,0,,,0.0,0.0,,,83,6.2,513,2,7,PB,Russell Wilson,WilsRu00
2021,33,SEA,QB,14,14,43,183,2,17,44.2,17,4.3,13.1,3.1,0,0,0,,0,0,,,0.0,0.0,,,43,4.3,183,2,6,PB,Russell Wilson,WilsRu00
2022,34,DEN,QB,15,15,55,277,3,21,50.9,19,5.0,18.5,3.7,1,1,1,1.0,0,0,0.0,1,0.1,0.1,100.0,1.0,56,5.0,278,3,6,,Russell Wilson,WilsRu00
2023,35,DEN,QB,15,15,80,341,3,38,55.0,21,4.3,22.7,5.3,0,0,0,,0,0,,,0.0,0.0,,,80,4.3,341,3,10,,Russell Wilson,WilsRu00
2024,36,PIT,QB,11,11,43,155,2,16,46.5,19,3.6,14.1,3.9,0,0,0,,0,0,,,0.0,0.0,,,43,3.6,155,2,5,"PB,AP CPoY-14",Russell Wilson,WilsRu00
2025,37,NYG,QB,6,3,18,106,0,6,50.0,15,5.9,17.7,3.0,0,0,0,,0,0,,,0.0,0.0,,,18,5.9,106,0,3,,Russell Wilson,WilsRu00
