Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2005,23,STL,QB,4,3,80,84,69,73,89,87,52,103,71,,Ryan Fitzpatrick,FitzRy00
2008,26,CIN,QB,13,12,66,67,77,76,94,79,108,77,84,,Ryan Fitzpatrick,FitzRy00
2009,27,BUF,QB,10,8,87,83,83,81,83,98,79,81,83,,Ryan Fitzpatrick,FitzRy00
2010,28,BUF,QB,13,13,95,99,97,99,91,111,94,108,98,,Ryan Fitzpatrick,FitzRy00
2011,29,BUF,QB,16,16,93,100,88,93,105,99,80,120,93,,Ryan Fitzpatrick,FitzRy00
2012,30,BUF,QB,16,16,92,96,94,96,99,105,93,107,97,,Ryan Fitzpatrick,FitzRy00
2013,31,TEN,QB,11,9,97,101,92,95,101,96,86,106,94,,Ryan Fitzpatrick,FitzRy00
2014,32,HOU,QB,12,12,118,119,113,114,103,111,100,100,109,,Ryan Fitzpatrick,FitzRy00
2015,33,NYJ,QB,16,16,94,104,97,104,87,113,95,122,98,,Ryan Fitzpatrick,FitzRy00
2016,34,NYJ,QB,14,11,90,98,78,83,75,83,67,113,72,,Ryan Fitzpatrick,FitzRy00
2017,35,TAM,QB,6,3,92,100,97,102,84,99,108,116,95,,Ryan Fitzpatrick,FitzRy00
2018,36,TAM,QB,8,7,148,147,124,125,112,126,58,109,114,,Ryan Fitzpatrick,FitzRy00
2019,37,MIA,QB,15,13,95,95,93,93,89,93,95,93,91,,Ryan Fitzpatrick,FitzRy00
2020,38,MIA,QB,9,7,113,117,105,108,117,103,86,110,105,,Ryan Fitzpatrick,FitzRy00
