Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2005,23,STL,QB,4,3,0-3-0,76,135,56.3,777,4,3.0,8,5.9,40,38.9,56,5.8,3.68,10.2,194.3,58.2,,9,49,6.25,5.06,3.11,1,1,2,,Ryan Fitzpatrick,FitzRy00
2006,24,STL,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,99.7,0,0,,,,0,0,0,,Ryan Fitzpatrick,FitzRy00
2007,25,CIN,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,,0,0,,,,0,0,0,,Ryan Fitzpatrick,FitzRy00
2008,26,CIN,QB,13,12,4-7-1,221,372,59.4,1905,8,2.2,9,2.4,99,40.7,79,5.1,4.46,8.6,146.5,70.0,52.5,38,193,9.27,4.18,3.58,0,0,3,,Ryan Fitzpatrick,FitzRy00
2009,27,BUF,QB,10,8,4-4-0,127,227,55.9,1422,9,4.0,10,4.4,65,35.1,98,6.3,5.07,11.2,142.2,69.7,35.2,21,127,8.47,5.22,4.13,1,2,3,,Ryan Fitzpatrick,FitzRy00
2010,28,BUF,QB,13,13,4-9-0,255,441,57.8,3000,23,5.2,15,3.4,151,41.7,65,6.8,6.32,11.8,230.8,81.8,52.3,24,145,5.16,6.14,5.68,1,1,9,,Ryan Fitzpatrick,FitzRy00
2011,29,BUF,QB,16,16,6-10-0,353,569,62.0,3832,24,4.2,23,4.0,179,42.8,60,6.7,5.76,10.9,239.5,79.1,50.1,22,148,3.72,6.23,5.29,2,2,11,,Ryan Fitzpatrick,FitzRy00
2012,30,BUF,QB,16,16,6-10-0,306,505,60.6,3400,24,4.8,16,3.2,175,43.6,68,6.7,6.26,11.1,212.5,83.3,43.8,30,161,5.61,6.05,5.61,0,1,11,,Ryan Fitzpatrick,FitzRy00
2013,31,TEN,QB,11,9,3-6-0,217,350,62.0,2454,14,4.0,12,3.4,119,43.9,77,7.0,6.27,11.3,223.1,82.0,58.7,21,109,5.66,6.32,5.62,2,2,9,,Ryan Fitzpatrick,FitzRy00
2014,32,HOU,QB,12,12,6-6-0,197,312,63.1,2483,17,5.4,8,2.6,120,45.9,76,8.0,7.89,12.6,206.9,95.3,61.8,21,83,6.31,7.21,7.15,0,0,8,,Ryan Fitzpatrick,FitzRy00
2015,33,NYJ,QB,16,16,10-6-0,335,562,59.6,3905,31,5.5,15,2.7,197,44.4,69,6.9,6.85,11.7,244.1,88.0,62.0,19,94,3.27,6.56,6.46,2,3,13,,Ryan Fitzpatrick,FitzRy00
2016,34,NYJ,QB,14,11,3-8-0,228,403,56.6,2710,12,3.0,17,4.2,130,41.9,57,6.7,5.42,11.9,193.6,69.6,39.2,19,81,4.50,6.23,4.99,0,0,5,,Ryan Fitzpatrick,FitzRy00
2017,35,TAM,QB,6,3,2-1-0,96,163,58.9,1103,7,4.3,3,1.8,64,45.9,41,6.8,6.80,11.5,183.8,86.0,59.1,7,34,4.12,6.29,6.32,0,1,3,,Ryan Fitzpatrick,FitzRy00
2018,36,TAM,QB,8,7,2-5-0,164,246,66.7,2366,17,6.9,12,4.9,113,51.9,75,9.6,8.80,14.4,295.8,100.4,61.0,14,76,5.38,8.81,8.04,0,0,7,,Ryan Fitzpatrick,FitzRy00
2019,37,MIA,QB,15,13,5-8-0,311,502,62.0,3529,20,4.0,13,2.6,182,45.0,51,7.0,6.66,11.3,235.3,85.5,68.3,40,209,7.38,6.13,5.78,3,4,10,,Ryan Fitzpatrick,FitzRy00
2020,38,MIA,QB,9,7,4-3-0,183,267,68.5,2091,13,4.9,8,3.0,106,54.4,70,7.8,7.46,11.4,232.3,95.6,70.9,14,65,4.98,7.21,6.85,1,1,7,,Ryan Fitzpatrick,FitzRy00
2021,39,WAS,QB,1,1,0-1-0,3,6,50.0,13,0,0.0,0,0.0,0,14.3,6,2.2,2.17,4.3,13.0,56.2,3.0,1,2,14.29,1.57,1.57,0,0,0,,Ryan Fitzpatrick,FitzRy00
