Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2005,23,STL,QB,4,3,14,64,2,6,50.0,14,4.6,16.0,3.5,0,0,0,,0,0,,,0.0,0.0,,,14,4.6,64,2,3,,Ryan Fitzpatrick,FitzRy00
2006,24,STL,QB,1,0,3,0,0,1,33.3,,0.0,0.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,0.0,0,0,0,,Ryan Fitzpatrick,FitzRy00
2008,26,CIN,QB,13,12,60,304,2,24,53.3,22,5.1,23.4,4.6,1,1,-3,-3.0,0,0,0.0,-3,0.1,-0.2,100.0,-3.0,61,4.9,301,2,11,,Ryan Fitzpatrick,FitzRy00
2009,27,BUF,QB,10,8,31,141,1,12,54.8,31,4.5,14.1,3.1,0,0,0,,0,0,,,0.0,0.0,,,31,4.5,141,1,3,,Ryan Fitzpatrick,FitzRy00
2010,28,BUF,QB,13,13,40,269,0,15,50.0,22,6.7,20.7,3.1,0,0,0,,0,0,,,0.0,0.0,,,40,6.7,269,0,8,,Ryan Fitzpatrick,FitzRy00
2011,29,BUF,QB,16,16,56,215,0,20,48.2,18,3.8,13.4,3.5,0,0,0,,0,0,,,0.0,0.0,,,56,3.8,215,0,7,,Ryan Fitzpatrick,FitzRy00
2012,30,BUF,QB,16,16,48,197,1,9,35.4,20,4.1,12.3,3.0,0,0,0,,0,0,,,0.0,0.0,,,48,4.1,197,1,8,,Ryan Fitzpatrick,FitzRy00
2013,31,TEN,QB,11,9,43,225,3,17,46.5,26,5.2,20.5,3.9,1,1,0,0.0,0,0,0.0,,0.1,0.0,100.0,0.0,44,5.1,225,3,9,,Ryan Fitzpatrick,FitzRy00
2014,32,HOU,QB,12,12,50,184,2,13,46.0,16,3.7,15.3,4.2,0,0,0,,0,0,,,0.0,0.0,,,50,3.7,184,2,5,,Ryan Fitzpatrick,FitzRy00
2015,33,NYJ,QB,16,16,60,270,2,23,48.3,19,4.5,16.9,3.8,0,0,0,,0,0,,,0.0,0.0,,,60,4.5,270,2,5,,Ryan Fitzpatrick,FitzRy00
2016,34,NYJ,QB,14,11,33,130,0,7,51.5,14,3.9,9.3,2.4,0,0,0,,0,0,,,0.0,0.0,,,33,3.9,130,0,9,,Ryan Fitzpatrick,FitzRy00
2017,35,TAM,QB,6,3,15,78,0,5,46.7,15,5.2,13.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,15,5.2,78,0,0,,Ryan Fitzpatrick,FitzRy00
2018,36,TAM,QB,8,7,36,152,2,9,44.4,18,4.2,19.0,4.5,0,0,0,,0,0,,,0.0,0.0,,,36,4.2,152,2,4,,Ryan Fitzpatrick,FitzRy00
2019,37,MIA,QB,15,13,54,243,4,16,51.9,20,4.5,16.2,3.6,0,0,0,,0,0,,,0.0,0.0,,,54,4.5,243,4,9,,Ryan Fitzpatrick,FitzRy00
2020,38,MIA,QB,9,7,30,151,2,12,53.3,17,5.0,16.8,3.3,1,1,0,0.0,0,0,0.0,,0.1,0.0,100.0,0.0,31,4.9,151,2,2,,Ryan Fitzpatrick,FitzRy00
2021,39,WAS,QB,1,1,1,2,0,0,0.0,2,2.0,2.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,2.0,2,0,1,,Ryan Fitzpatrick,FitzRy00
