Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,30,BUF,QB,14,16,16,997,99%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2013,31,TEN,QB,4,11,9,680,91%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2014,32,HOU,QB,14,12,12,728,92%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2015,33,NYJ,QB,14,16,16,1045,94%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2016,34,NYJ,QB,14,14,11,763,85%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2017,35,TAM,QB,14,6,3,299,73%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2018,36,TAM,QB,14,8,7,427,77%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2019,37,MIA,QB,14,15,13,878,86%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2020,38,MIA,QB,14,9,7,496,84%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
2021,39,WAS,QB,14,1,1,16,29%,0,0%,0,0%,Ryan Fitzpatrick,FitzRy00
