Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2012,24,MIA,QB,16,16,93,93,92,92,91,80,101,97,89,,Ryan Tannehill,TannRy00
2013,25,MIA,QB,16,16,89,82,91,87,95,96,95,79,93,,Ryan Tannehill,TannRy00
2014,26,MIA,QB,16,16,92,89,99,96,116,101,109,93,106,,Ryan Tannehill,TannRy00
2015,27,MIA,QB,16,16,99,91,101,96,96,96,106,91,99,,Ryan Tannehill,TannRy00
2016,28,MIA,QB,13,13,113,107,105,102,117,106,87,93,107,,Ryan Tannehill,TannRy00
2018,30,MIA,QB,11,11,100,85,99,89,103,119,85,64,103,,Ryan Tannehill,TannRy00
2019,31,TEN,QB,12,10,145,130,140,129,123,130,103,75,133,"PB,AP CPoY-1",Ryan Tannehill,TannRy00
2020,32,TEN,QB,16,16,115,118,121,122,104,123,116,112,120,,Ryan Tannehill,TannRy00
2021,33,TEN,QB,17,17,98,93,95,92,110,94,92,86,97,,Ryan Tannehill,TannRy00
2022,34,TEN,QB,12,12,118,105,114,106,103,96,110,80,107,,Ryan Tannehill,TannRy00
2023,35,TEN,QB,10,8,100,84,87,78,102,69,83,61,81,,Ryan Tannehill,TannRy00
