Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2012,24,MIA,QB,16,16,0,0,0,0,0,0,9,1,0,0,0.0,0,0,0,0,0,0,,Ryan Tannehill,TannRy00
2013,25,MIA,QB,16,16,0,0,0,0,0,0,9,3,-7,0,0.0,0,0,0,0,0,0,,Ryan Tannehill,TannRy00
2014,26,MIA,QB,16,16,0,0,0,0,0,0,9,4,-10,0,0.0,0,0,0,0,0,0,,Ryan Tannehill,TannRy00
2015,27,MIA,QB,16,16,0,0,0,0,0,0,10,5,-15,0,0.0,0,0,0,0,0,0,,Ryan Tannehill,TannRy00
2016,28,MIA,QB,13,13,0,0,0,0,0,0,9,3,-27,0,0.0,0,0,0,0,0,0,,Ryan Tannehill,TannRy00
2018,30,MIA,QB,11,11,0,0,0,0,0,0,5,0,-14,0,0.0,0,0,0,0,0,0,,Ryan Tannehill,TannRy00
2019,31,TEN,QB,12,10,0,0,0,0,0,0,5,1,-1,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-1",Ryan Tannehill,TannRy00
2020,32,TEN,QB,16,16,0,0,0,0,0,0,6,3,-19,0,0.0,0,0,0,0,0,0,,Ryan Tannehill,TannRy00
2021,33,TEN,QB,17,17,0,0,0,0,0,0,10,1,1,0,0.0,2,1,1,0,0,0,,Ryan Tannehill,TannRy00
2022,34,TEN,QB,12,12,0,0,0,0,0,0,3,0,-1,0,0.0,2,2,0,0,0,0,,Ryan Tannehill,TannRy00
2023,35,TEN,QB,10,8,0,0,0,0,0,0,4,2,-12,0,0.0,0,0,0,0,0,0,,Ryan Tannehill,TannRy00
