Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2012,24,MIA,QB,16,16,7-9-0,282,484,58.3,3294,12,2.5,13,2.7,151,42.0,80,6.8,6.09,11.7,205.9,76.1,48.4,35,234,6.74,5.90,5.23,1,1,10,,Ryan Tannehill,TannRy00
2013,25,MIA,QB,16,16,8-8-0,355,588,60.4,3913,24,4.1,17,2.9,204,44.1,67,6.7,6.17,11.0,244.6,81.7,48.4,58,399,8.98,5.44,5.00,4,3,11,,Ryan Tannehill,TannRy00
2014,26,MIA,QB,16,16,8-8-0,392,590,66.4,4045,27,4.6,12,2.0,225,47.3,50,6.9,6.86,10.3,252.8,92.8,60.5,46,337,7.23,5.83,5.83,2,1,14,,Ryan Tannehill,TannRy00
2015,27,MIA,QB,16,16,6-10-0,363,586,61.9,4208,24,4.1,12,2.0,195,42.0,54,7.2,7.08,11.6,263.0,88.7,45.6,45,420,7.13,6.00,5.91,2,2,10,,Ryan Tannehill,TannRy00
2016,28,MIA,QB,13,13,8-5-0,261,389,67.1,2995,19,4.9,12,3.1,134,45.9,74,7.7,7.29,11.5,230.4,93.5,48.6,29,216,6.94,6.65,6.27,3,3,10,,Ryan Tannehill,TannRy00
2018,30,MIA,QB,11,11,5-6-0,176,274,64.2,1979,17,6.2,9,3.3,92,42.1,75,7.2,6.99,11.2,179.9,92.7,33.2,35,279,11.33,5.50,5.29,3,3,6,,Ryan Tannehill,TannRy00
2019,31,TEN,QB,12,10,7-3-0,201,286,70.3,2742,22,7.7,6,2.1,126,51.4,91,9.6,10.18,13.6,228.5,117.5,64.2,31,212,9.78,7.98,8.52,2,3,11,"PB,AP CPoY-1",Ryan Tannehill,TannRy00
2020,32,TEN,QB,16,16,11-5-0,315,481,65.5,3819,33,6.9,7,1.5,202,52.1,75,7.9,8.66,12.1,238.7,106.5,72.6,24,173,4.75,7.22,7.90,5,6,16,,Ryan Tannehill,TannRy00
2021,33,TEN,QB,17,17,12-5-0,357,531,67.2,3734,21,4.0,14,2.6,201,46.2,57,7.0,6.64,10.5,219.6,89.6,61.8,47,327,8.13,5.89,5.53,3,4,13,,Ryan Tannehill,TannRy00
2022,34,TEN,QB,12,12,6-6-0,212,325,65.2,2536,13,4.0,6,1.8,116,45.3,69,7.8,7.77,12.0,211.3,94.6,51.2,33,238,9.22,6.42,6.39,0,0,8,,Ryan Tannehill,TannRy00
2023,35,TEN,QB,10,8,3-5-0,149,230,64.8,1616,4,1.7,7,3.0,74,40.8,70,7.0,6.00,10.8,161.6,78.5,35.8,32,230,12.21,5.29,4.39,1,1,5,,Ryan Tannehill,TannRy00
