Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,24,MIA,QB,17,16,16,981,95%,0,0%,0,0%,Ryan Tannehill,TannRy00
2013,25,MIA,QB,17,16,16,1021,99%,0,0%,0,0%,Ryan Tannehill,TannRy00
2014,26,MIA,QB,17,16,16,1065,97%,0,0%,0,0%,Ryan Tannehill,TannRy00
2015,27,MIA,QB,17,16,16,1025,99%,0,0%,0,0%,Ryan Tannehill,TannRy00
2016,28,MIA,QB,17,13,13,758,98%,0,0%,0,0%,Ryan Tannehill,TannRy00
2018,30,MIA,QB,17,11,11,580,98%,0,0%,0,0%,Ryan Tannehill,TannRy00
2020,32,TEN,QB,17,16,16,1052,98%,0,0%,0,0%,Ryan Tannehill,TannRy00
2021,33,TEN,QB,17,17,17,1168,99%,0,0%,0,0%,Ryan Tannehill,TannRy00
2022,34,TEN,QB,17,12,12,686,95%,0,0%,0,0%,Ryan Tannehill,TannRy00
2023,35,TEN,QB,17,10,8,500,81%,0,0%,2,1%,Ryan Tannehill,TannRy00
