Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1985,24,TAM,QB,5,5,94,81,81,75,88,78,77,69,77,,Steve Young,YounSt00
1986,25,TAM,QB,14,14,84,77,88,83,95,78,106,78,88,,Steve Young,YounSt00
1987,26,SFO,QB,8,3,127,134,168,173,96,209,155,119,160,,Steve Young,YounSt00
1988,27,SFO,QB,11,3,94,86,99,94,95,87,113,73,97,,Steve Young,YounSt00
1989,28,SFO,QB,10,3,182,156,166,151,149,155,107,71,159,,Steve Young,YounSt00
1990,29,SFO,QB,6,1,97,90,119,111,119,92,151,72,123,,Steve Young,YounSt00
1991,30,SFO,QB,11,10,145,145,140,140,127,126,111,117,135,,Steve Young,YounSt00
1992,31,SFO,QB,16,16,134,132,142,139,129,130,126,102,142,"PB,AP-1,AP MVP-1,AP OPoY-1",Steve Young,YounSt00
1993,32,SFO,QB,16,16,138,136,133,132,130,133,99,103,133,"PB,AP-1,AP MVP-2,AP OPoY-2",Steve Young,YounSt00
1994,33,SFO,QB,16,16,139,136,143,141,138,147,115,100,147,"PB,AP-1,AP MVP-1,AP OPoY-2",Steve Young,YounSt00
1995,34,SFO,QB,11,11,110,114,113,116,130,107,112,106,120,"PB,AP-2",Steve Young,YounSt00
1996,35,SFO,QB,12,12,123,114,124,119,139,106,120,80,128,PB,Steve Young,YounSt00
1997,36,SFO,QB,15,15,134,127,133,128,142,114,122,88,134,"PB,AP-2,AP MVP-4",Steve Young,YounSt00
1998,37,SFO,QB,15,15,123,121,126,125,123,130,112,92,128,"PB,AP-2,AP OPoY-4",Steve Young,YounSt00
1999,38,SFO,QB,3,3,76,73,76,74,86,95,80,90,80,,Steve Young,YounSt00
