Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,safety_md,Awards,Player,PlayerID
1985,24,TAM,QB,5,5,0,0,0,0,,0,4,1,-1,0,0.0,0,0,0,0,,Steve Young,YounSt00
1986,25,TAM,QB,14,14,0,0,0,0,,0,11,4,-24,0,0.0,0,0,0,0,,Steve Young,YounSt00
1988,27,SFO,QB,11,3,0,0,0,0,,0,5,2,-10,0,0.0,0,0,0,0,,Steve Young,YounSt00
1989,28,SFO,QB,10,3,0,0,0,0,,0,2,1,0,0,0.0,0,0,0,0,,Steve Young,YounSt00
1990,29,SFO,QB,6,1,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,0,,Steve Young,YounSt00
1991,30,SFO,QB,11,10,0,0,0,0,,0,3,1,-6,0,0.0,0,0,0,0,,Steve Young,YounSt00
1992,31,SFO,QB,16,16,0,0,0,0,,0,9,3,-13,0,0.0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Steve Young,YounSt00
1993,32,SFO,QB,16,16,0,0,0,0,,0,8,2,-4,0,0.0,0,0,0,0,"PB,AP-1,AP MVP-2,AP OPoY-2",Steve Young,YounSt00
1994,33,SFO,QB,16,16,0,0,0,0,,0,4,1,-4,0,0.0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-2",Steve Young,YounSt00
1995,34,SFO,QB,11,11,0,0,0,0,,0,3,0,0,0,0.0,0,0,0,0,"PB,AP-2",Steve Young,YounSt00
1996,35,SFO,QB,12,12,0,0,0,0,,0,3,1,0,0,0.0,0,0,0,0,PB,Steve Young,YounSt00
1997,36,SFO,QB,15,15,0,0,0,0,,0,4,2,-11,0,0.0,0,0,0,0,"PB,AP-2,AP MVP-4",Steve Young,YounSt00
1998,37,SFO,QB,15,15,0,0,0,0,,0,9,1,0,0,0.0,0,0,0,0,"PB,AP-2,AP OPoY-4",Steve Young,YounSt00
1999,38,SFO,QB,3,3,0,0,0,0,0,0,2,0,0,0,0.0,,,,0,,Steve Young,YounSt00
