Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2001,24,NWE,QB,15,14,0,0,0,0,0,0,12,4,-18,0,0.0,0,0,0,0,,0,PB,Tom Brady,BradTo00
2002,25,NWE,QB,16,16,0,0,0,0,0,0,11,5,-32,0,0.0,0,0,0,0,,0,,Tom Brady,BradTo00
2003,26,NWE,QB,16,16,0,0,0,0,0,0,13,3,-5,0,0.0,0,0,0,0,,0,AP MVP-3,Tom Brady,BradTo00
2004,27,NWE,QB,16,16,0,0,0,0,0,0,7,1,-17,0,0.0,0,0,0,0,,0,PB,Tom Brady,BradTo00
2005,28,NWE,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,,,,,,0,"PB,AP-2,AP MVP-3,AP OPoY-4",Tom Brady,BradTo00
2006,29,NWE,QB,16,16,0,0,0,0,0,0,12,1,-2,0,0.0,0,0,0,0,0,0,,Tom Brady,BradTo00
2007,30,NWE,QB,16,16,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Tom Brady,BradTo00
2009,32,NWE,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,,,0,"PB,AP CPoY-1",Tom Brady,BradTo00
2010,33,NWE,QB,16,16,0,0,0,0,0,0,3,1,-5,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Tom Brady,BradTo00
2011,34,NWE,QB,16,16,0,0,0,0,0,0,6,3,-8,0,0.0,0,0,0,0,0,0,PB,Tom Brady,BradTo00
2012,35,NWE,QB,16,16,0,0,0,0,0,0,2,1,-3,0,0.0,0,0,0,0,0,0,"PB,AP OPoY-3",Tom Brady,BradTo00
2013,36,NWE,QB,16,16,0,0,0,0,0,0,9,5,-10,0,0.0,0,0,0,0,0,0,"PB,AP MVP-2,AP OPoY-4",Tom Brady,BradTo00
2014,37,NWE,QB,16,16,0,0,0,0,0,0,6,1,-4,0,0.0,0,0,0,0,0,0,"PB,AP MVP-5",Tom Brady,BradTo00
2015,38,NWE,QB,16,16,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,"PB,AP MVP-2,AP OPoY-4",Tom Brady,BradTo00
2016,39,NWE,QB,12,12,0,0,0,0,0,0,5,4,-1,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-4",Tom Brady,BradTo00
2017,40,NWE,QB,16,16,0,0,0,0,0,0,7,2,-24,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-3",Tom Brady,BradTo00
2018,41,NWE,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,PB,Tom Brady,BradTo00
2019,42,NWE,QB,16,16,0,0,0,0,0,0,4,5,0,0,0.0,0,0,0,0,0,0,,Tom Brady,BradTo00
2020,43,TAM,QB,16,16,0,0,0,0,0,0,4,3,-6,0,0.0,0,0,0,0,0,0,,Tom Brady,BradTo00
2021,44,TAM,QB,17,17,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-3",Tom Brady,BradTo00
2022,45,TAM,QB,17,17,0,0,0,0,0,0,5,1,7,0,0.0,1,1,0,0,0,0,,Tom Brady,BradTo00
