Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2006,26,DAL,QB,16,10,135,131,123,122,117,118,88,104,119,PB,Tony Romo,RomoTo00
2007,27,DAL,QB,16,16,125,124,121,121,113,133,90,111,121,PB,Tony Romo,RomoTo00
2008,28,DAL,QB,13,13,114,116,112,114,101,119,98,112,110,,Tony Romo,RomoTo00
2009,29,DAL,QB,16,16,122,121,123,122,107,107,118,101,117,PB,Tony Romo,RomoTo00
2010,30,DAL,QB,6,6,108,115,106,110,128,110,95,123,112,,Tony Romo,RomoTo00
2011,31,DAL,QB,16,16,119,116,122,120,120,119,115,98,123,,Tony Romo,RomoTo00
2012,32,DAL,QB,16,16,109,110,105,106,117,100,97,109,106,,Tony Romo,RomoTo00
2013,33,DAL,QB,15,15,100,99,109,108,109,116,113,102,113,,Tony Romo,RomoTo00
2014,34,DAL,QB,15,15,131,126,131,128,130,138,108,101,134,"PB,AP-2,AP MVP-3,AP OPoY-5",Tony Romo,RomoTo00
2015,35,DAL,QB,4,4,102,107,78,82,123,96,38,111,85,,Tony Romo,RomoTo00
