Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
2004,24,DAL,QB,6,0,,0,0,,0,0,,0,,0,,,,,,0.0,,,0,0,,,,0,0,0,,Tony Romo,RomoTo00
2005,25,DAL,QB,16,0,,0,0,,0,0,,0,,0,,,,,,0.0,,,0,0,,,,0,0,0,,Tony Romo,RomoTo00
2006,26,DAL,QB,16,10,6-4-0,220,337,65.3,2903,19,5.6,13,3.9,144,53.1,56,8.6,8.01,13.2,181.4,95.1,63.5,21,124,5.87,7.76,7.19,2,3,12,PB,Tony Romo,RomoTo00
2007,27,DAL,QB,16,16,13-3-0,335,520,64.4,4211,36,6.9,19,3.7,216,52.2,59,8.1,7.84,12.6,263.2,97.4,76.9,24,176,4.41,7.42,7.17,2,2,17,PB,Tony Romo,RomoTo00
2008,28,DAL,QB,13,13,8-5-0,276,450,61.3,3448,26,5.8,14,3.1,149,46.2,75,7.7,7.42,12.5,265.2,91.4,60.8,20,123,4.26,7.07,6.84,2,2,10,,Tony Romo,RomoTo00
2009,29,DAL,QB,16,16,11-5-0,347,550,63.1,4483,26,4.7,9,1.6,203,48.3,80,8.2,8.36,12.9,280.2,97.6,65.5,34,196,5.82,7.34,7.54,3,3,14,PB,Tony Romo,RomoTo00
2010,30,DAL,QB,6,6,1-5-0,148,213,69.5,1605,11,5.2,7,3.3,73,46.8,69,7.5,7.09,10.8,267.5,94.9,66.4,7,41,3.18,7.11,6.68,0,0,6,,Tony Romo,RomoTo00
2011,31,DAL,QB,16,16,8-8-0,346,522,66.3,4184,31,5.9,10,1.9,203,49.6,77,8.0,8.34,12.1,261.5,102.5,69.0,36,227,6.45,7.09,7.40,4,4,13,,Tony Romo,RomoTo00
2012,32,DAL,QB,16,16,8-8-0,425,648,65.6,4903,28,4.3,19,2.9,232,51.5,85,7.6,7.11,11.5,306.4,90.5,65.4,36,263,5.26,6.78,6.35,5,5,14,,Tony Romo,RomoTo00
2013,33,DAL,QB,15,15,8-7-0,342,535,63.9,3828,31,5.8,10,1.9,198,49.1,82,7.2,7.47,11.2,255.2,96.7,61.9,35,272,6.14,6.24,6.54,2,4,13,,Tony Romo,RomoTo00
2014,34,DAL,QB,15,15,12-3-0,304,435,69.9,3705,34,7.8,9,2.1,191,53.4,68,8.5,9.15,12.2,247.0,113.2,79.2,29,215,6.25,7.52,8.11,3,4,14,"PB,AP-2,AP MVP-3,AP OPoY-5",Tony Romo,RomoTo00
2015,35,DAL,QB,4,4,3-1-0,83,121,68.6,884,5,4.1,7,5.8,47,50.4,39,7.3,5.53,10.7,221.0,79.4,50.5,6,35,4.72,6.69,4.99,1,2,2,,Tony Romo,RomoTo00
2016,36,DAL,QB,1,0,,3,4,75.0,29,1,25.0,0,0.0,3,75.0,15,7.3,12.25,9.7,29.0,134.4,99.0,0,0,0.00,7.25,12.25,0,0,0,,Tony Romo,RomoTo00
