Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2005,25,DAL,QB,16,0,2,-2,0,0,0.0,-1,-1.0,-0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,2,-1.0,-2,0,0,,Tony Romo,RomoTo00
2006,26,DAL,QB,16,10,34,102,0,9,38.2,16,3.0,6.4,2.1,0,0,0,,0,0,,,0.0,0.0,,,34,3.0,102,0,9,PB,Tony Romo,RomoTo00
2007,27,DAL,QB,16,16,31,129,2,8,41.9,17,4.2,8.1,1.9,0,0,0,,0,0,,,0.0,0.0,,,31,4.2,129,2,10,PB,Tony Romo,RomoTo00
2008,28,DAL,QB,13,13,28,41,0,4,28.6,15,1.5,3.2,2.2,0,0,0,,0,0,,,0.0,0.0,,,28,1.5,41,0,13,,Tony Romo,RomoTo00
2009,29,DAL,QB,16,16,35,105,1,5,25.7,17,3.0,6.6,2.2,0,0,0,,0,0,,,0.0,0.0,,,35,3.0,105,1,6,PB,Tony Romo,RomoTo00
2010,30,DAL,QB,6,6,6,38,0,2,66.7,14,6.3,6.3,1.0,0,0,11,,0,0,,11,0.0,1.8,,,6,8.2,49,0,0,,Tony Romo,RomoTo00
2011,31,DAL,QB,16,16,22,46,1,4,27.3,17,2.1,2.9,1.4,0,0,0,,0,0,,,0.0,0.0,,,22,2.1,46,1,6,,Tony Romo,RomoTo00
2012,32,DAL,QB,16,16,30,49,1,6,30.0,15,1.6,3.1,1.9,1,1,-1,-1.0,0,0,0.0,-1,0.1,-0.1,100.0,-1.0,31,1.5,48,1,6,,Tony Romo,RomoTo00
2013,33,DAL,QB,15,15,20,38,0,5,20.0,15,1.9,2.5,1.3,0,0,0,,0,0,,,0.0,0.0,,,20,1.9,38,0,4,,Tony Romo,RomoTo00
2014,34,DAL,QB,15,15,26,61,0,6,19.2,21,2.3,4.1,1.7,0,0,0,,0,0,,,0.0,0.0,,,26,2.3,61,0,7,"PB,AP-2,AP MVP-3,AP OPoY-5",Tony Romo,RomoTo00
2015,35,DAL,QB,4,4,4,13,0,1,25.0,12,3.3,3.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,4,3.3,13,0,1,,Tony Romo,RomoTo00
