Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1998,28,WAS,QB,15,14,100,95,107,103,92,105,115,91,105,,Trent Green,GreeTr00
2000,30,STL,QB,8,5,134,126,139,133,109,133,119,86,133,AP CPoY-12,Trent Green,GreeTr00
2001,31,KAN,QB,16,16,109,110,96,97,92,91,77,99,89,,Trent Green,GreeTr00
2002,32,KAN,QB,16,16,126,128,126,127,107,123,108,108,120,,Trent Green,GreeTr00
2003,33,KAN,QB,16,16,117,122,118,122,112,106,115,118,115,PB,Trent Green,GreeTr00
2004,34,KAN,QB,16,16,125,124,120,120,123,109,102,108,119,,Trent Green,GreeTr00
2005,35,KAN,QB,16,16,118,117,117,116,109,91,120,105,111,PB,Trent Green,GreeTr00
2006,36,KAN,QB,8,8,99,91,90,86,103,95,77,72,91,,Trent Green,GreeTr00
2007,37,MIA,QB,5,5,102,104,88,91,99,95,70,109,87,,Trent Green,GreeTr00
2008,38,STL,QB,3,1,107,98,66,64,73,55,23,88,51,,Trent Green,GreeTr00
