Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1997,27,WAS,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,0,,Trent Green,GreeTr00
1998,28,WAS,QB,15,14,6-8-0,278,509,54.6,3441,23,4.5,11,2.2,172,40.1,75,6.8,6.69,12.4,229.4,81.8,,49,338,8.78,5.56,5.50,2,2,10,,Trent Green,GreeTr00
2000,30,STL,QB,8,5,2-3-0,145,240,60.4,2063,16,6.7,5,2.1,92,45.8,64,8.6,8.99,14.2,257.9,101.8,,24,145,9.09,7.27,7.63,0,1,10,AP CPoY-12,Trent Green,GreeTr00
2001,31,KAN,QB,16,16,6-10-0,296,523,56.6,3783,17,3.3,24,4.6,176,42.2,67,7.2,5.82,12.8,236.4,71.1,,39,198,6.94,6.38,5.06,2,3,13,,Trent Green,GreeTr00
2002,32,KAN,QB,16,16,8-8-0,287,470,61.1,3690,26,5.5,13,2.8,177,47.6,99,7.9,7.71,12.9,230.6,92.6,,26,141,5.24,7.16,7.02,4,4,18,,Trent Green,GreeTr00
2003,33,KAN,QB,16,16,13-3-0,330,523,63.1,4039,24,4.6,12,2.3,198,47.3,67,7.7,7.61,12.2,252.4,92.6,,20,130,3.68,7.20,7.09,1,2,18,PB,Trent Green,GreeTr00
2004,34,KAN,QB,16,16,7-9-0,369,556,66.4,4591,27,4.9,17,3.1,230,50.7,70,8.3,7.85,12.4,286.9,95.2,,32,227,5.44,7.42,7.04,3,3,17,,Trent Green,GreeTr00
2005,35,KAN,QB,16,16,10-6-0,317,507,62.5,4014,17,3.4,10,2.0,182,48.2,60,7.9,7.70,12.7,250.9,90.1,,32,204,5.94,7.07,6.86,2,3,15,PB,Trent Green,GreeTr00
2006,36,KAN,QB,8,8,4-4-0,121,198,61.1,1342,7,3.5,9,4.5,76,45.9,39,6.8,5.44,11.1,167.8,74.1,48.7,24,127,10.81,5.47,4.28,1,1,5,,Trent Green,GreeTr00
2007,37,MIA,QB,5,5,0-5-0,85,141,60.3,987,5,3.5,7,5.0,50,44.6,43,7.0,5.48,11.6,197.4,72.6,44.7,7,53,4.73,6.31,4.86,0,0,3,,Trent Green,GreeTr00
2008,38,STL,QB,3,1,0-1-0,38,72,52.8,525,0,0.0,6,8.3,19,43.6,53,7.3,3.54,13.8,175.0,41.7,17.1,6,58,7.69,5.99,2.53,0,0,1,,Trent Green,GreeTr00
