Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1989,23,DAL,QB,11,11,78,82,70,72,91,88,68,106,74,,Troy Aikman,AikmTr00
1990,24,DAL,QB,15,15,88,84,83,81,101,86,87,88,86,,Troy Aikman,AikmTr00
1991,25,DAL,QB,12,12,114,109,112,109,130,90,113,95,114,PB,Troy Aikman,AikmTr00
1992,26,DAL,QB,16,16,109,115,113,117,120,114,108,115,118,PB,Troy Aikman,AikmTr00
1993,27,DAL,QB,14,14,122,122,127,126,133,101,128,104,129,"PB,AP MVP-5,AP OPoY-6",Troy Aikman,AikmTr00
1994,28,DAL,QB,14,14,114,121,108,113,120,97,97,117,109,PB,Troy Aikman,AikmTr00
1995,29,DAL,QB,16,16,122,130,124,129,123,97,126,120,122,PB,Troy Aikman,AikmTr00
1996,30,DAL,QB,15,15,100,109,99,104,124,83,106,118,103,PB,Troy Aikman,AikmTr00
1997,31,DAL,QB,16,16,92,93,99,100,98,96,113,106,101,,Troy Aikman,AikmTr00
1998,32,DAL,QB,11,11,111,122,115,122,111,98,123,126,113,,Troy Aikman,AikmTr00
1999,33,DAL,QB,14,14,99,105,102,105,108,98,108,117,104,,Troy Aikman,AikmTr00
2000,34,DAL,QB,11,11,90,95,78,82,106,85,68,114,81,,Troy Aikman,AikmTr00
