Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,safety_md,Awards,Player,PlayerID
1989,23,DAL,QB,11,11,0,0,0,0,,0,6,3,0,0,0.0,0,0,0,,0,,Troy Aikman,AikmTr00
1990,24,DAL,QB,15,15,0,0,0,0,,0,5,1,0,0,0.0,0,0,0,,0,,Troy Aikman,AikmTr00
1991,25,DAL,QB,12,12,0,0,0,0,,0,4,0,0,0,0.0,0,0,0,,0,PB,Troy Aikman,AikmTr00
1992,26,DAL,QB,16,16,0,0,0,0,,0,4,1,0,0,0.0,0,0,0,,0,PB,Troy Aikman,AikmTr00
1993,27,DAL,QB,14,14,0,0,0,0,,0,7,3,-3,0,0.0,0,0,0,,0,"PB,AP MVP-5,AP OPoY-6",Troy Aikman,AikmTr00
1994,28,DAL,QB,14,14,0,0,0,0,,0,2,2,0,0,0.0,0,0,0,,0,PB,Troy Aikman,AikmTr00
1995,29,DAL,QB,16,16,0,0,0,0,,0,5,2,-15,0,0.0,0,0,0,,0,PB,Troy Aikman,AikmTr00
1996,30,DAL,QB,15,15,0,0,0,0,,0,6,2,-8,0,0.0,0,0,0,,0,PB,Troy Aikman,AikmTr00
1997,31,DAL,QB,16,16,0,0,0,0,,0,6,0,-5,0,0.0,0,0,0,,0,,Troy Aikman,AikmTr00
1998,32,DAL,QB,11,11,0,0,0,0,,0,3,0,-20,0,0.0,0,0,0,,0,,Troy Aikman,AikmTr00
1999,33,DAL,QB,14,14,0,0,0,0,0,0,8,2,-12,0,0.0,0,0,0,0,0,,Troy Aikman,AikmTr00
2000,34,DAL,QB,11,11,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,,Troy Aikman,AikmTr00
