Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1989,23,DAL,QB,11,11,38,302,0,20,73.7,25,7.9,27.5,3.5,1,1,-13,-13.0,0,0,0.0,-13,0.1,-1.2,100.0,-13.0,39,7.4,289,0,6,,Troy Aikman,AikmTr00
1990,24,DAL,QB,15,15,40,172,1,11,45.0,20,4.3,11.5,2.7,0,0,0,,0,0,,,0.0,0.0,,,40,4.3,172,1,5,,Troy Aikman,AikmTr00
1991,25,DAL,QB,12,12,16,5,1,1,12.5,9,0.3,0.4,1.3,1,1,-6,-6.0,0,0,0.0,-6,0.1,-0.5,100.0,-6.0,17,-0.1,-1,1,4,PB,Troy Aikman,AikmTr00
1992,26,DAL,QB,16,16,37,105,1,6,27.0,19,2.8,6.6,2.3,0,0,0,,0,0,,,0.0,0.0,,,37,2.8,105,1,4,PB,Troy Aikman,AikmTr00
1993,27,DAL,QB,14,14,32,125,0,6,40.6,20,3.9,8.9,2.3,0,0,0,,0,0,,,0.0,0.0,,,32,3.9,125,0,7,"PB,AP MVP-5,AP OPoY-6",Troy Aikman,AikmTr00
1994,28,DAL,QB,14,14,30,62,1,4,20.0,13,2.1,4.4,2.1,0,0,0,,0,0,,,0.0,0.0,,,30,2.1,62,1,2,PB,Troy Aikman,AikmTr00
1995,29,DAL,QB,16,16,21,32,1,4,19.0,12,1.5,2.0,1.3,0,0,0,,0,0,,,0.0,0.0,,,21,1.5,32,1,5,PB,Troy Aikman,AikmTr00
1996,30,DAL,QB,15,15,35,42,1,10,37.1,10,1.2,2.8,2.3,0,0,0,,0,0,,,0.0,0.0,,,35,1.2,42,1,6,PB,Troy Aikman,AikmTr00
1997,31,DAL,QB,16,16,25,79,0,7,40.0,13,3.2,4.9,1.6,0,0,0,,0,0,,,0.0,0.0,,,25,3.2,79,0,6,,Troy Aikman,AikmTr00
1998,32,DAL,QB,11,11,22,69,2,6,36.4,23,3.1,6.3,2.0,0,0,0,,0,0,,,0.0,0.0,,,22,3.1,69,2,3,,Troy Aikman,AikmTr00
1999,33,DAL,QB,14,14,21,10,1,7,14.3,7,0.5,0.7,1.5,0,0,0,,0,0,,,0.0,0.0,,,21,0.5,10,1,8,,Troy Aikman,AikmTr00
2000,34,DAL,QB,11,11,10,13,0,5,60.0,5,1.3,1.2,0.9,0,0,0,,0,0,,,0.0,0.0,,,10,1.3,13,0,2,,Troy Aikman,AikmTr00
