Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2011,22,BAL,QB,3,0,1,2,0,0,0.0,2,2.0,0.7,0.3,0,0,0,,0,0,,,0.0,0.0,,,1,2.0,2,0,0,,Tyrod Taylor,TaylTy00
2012,23,BAL,QB,7,0,14,73,1,5,57.1,28,5.2,10.4,2.0,0,0,0,,0,0,,,0.0,0.0,,,14,5.2,73,1,0,,Tyrod Taylor,TaylTy00
2013,24,BAL,QB,3,0,8,64,0,5,62.5,25,8.0,21.3,2.7,1,1,6,6.0,0,0,0.0,6,0.3,2.0,100.0,6.0,9,7.8,70,0,0,,Tyrod Taylor,TaylTy00
2014,25,BAL,QB,1,0,4,-3,0,0,0.0,,-0.8,-3.0,4.0,0,0,0,,0,0,,,0.0,0.0,,,4,-0.8,-3,0,0,,Tyrod Taylor,TaylTy00
2015,26,BUF,QB,14,14,104,568,4,28,46.2,31,5.5,40.6,7.4,1,1,4,4.0,0,0,100.0,4,0.1,0.3,100.0,4.0,105,5.4,572,4,9,PB,Tyrod Taylor,TaylTy00
2016,27,BUF,QB,15,15,95,580,6,34,49.5,49,6.1,38.7,6.3,0,0,0,,0,0,,,0.0,0.0,,,95,6.1,580,6,4,,Tyrod Taylor,TaylTy00
2017,28,BUF,QB,15,14,84,427,4,28,42.9,32,5.1,28.5,5.6,0,0,0,,0,0,,,0.0,0.0,,,84,5.1,427,4,4,,Tyrod Taylor,TaylTy00
2018,29,CLE,QB,4,3,16,125,1,6,56.3,24,7.8,31.3,4.0,0,0,0,,0,0,,,0.0,0.0,,,16,7.8,125,1,3,,Tyrod Taylor,TaylTy00
2019,30,LAC,QB,8,0,10,7,0,1,10.0,9,0.7,0.9,1.3,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,10,0.7,7,0,0,,Tyrod Taylor,TaylTy00
2020,31,LAC,QB,2,1,6,7,0,1,16.7,4,1.2,3.5,3.0,0,0,0,,0,0,,,0.0,0.0,,,6,1.2,7,0,0,,Tyrod Taylor,TaylTy00
2021,32,HOU,QB,6,6,19,151,3,6,52.6,30,7.9,25.2,3.2,0,0,0,,0,0,,,0.0,0.0,,,19,7.9,151,3,3,,Tyrod Taylor,TaylTy00
2022,33,NYG,QB,3,0,5,70,0,5,100.0,32,14.0,23.3,1.7,0,0,0,,0,0,,,0.0,0.0,,,5,14.0,70,0,2,,Tyrod Taylor,TaylTy00
2023,34,NYG,QB,11,5,38,197,0,10,47.4,31,5.2,17.9,3.5,0,0,0,,0,0,,,0.0,0.0,,,38,5.2,197,0,4,,Tyrod Taylor,TaylTy00
2024,35,NYJ,QB,2,0,3,13,0,0,66.7,7,4.3,6.5,1.5,0,0,0,,0,0,,,0.0,0.0,,,3,4.3,13,0,1,,Tyrod Taylor,TaylTy00
2025,36,NYJ,QB,6,4,27,143,1,10,48.1,15,5.3,23.8,4.5,0,0,0,,0,0,,,0.0,0.0,,,27,5.3,143,1,1,,Tyrod Taylor,TaylTy00
