Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1987,24,TAM,QB,6,4,92,85,94,89,61,88,104,85,82,,Vinny Testaverde,TestVi00
1988,25,TAM,QB,15,15,99,98,74,75,76,85,50,103,67,,Vinny Testaverde,TestVi00
1989,26,TAM,QB,14,14,89,89,89,89,94,101,89,98,92,,Vinny Testaverde,TestVi00
1990,27,TAM,QB,14,13,116,103,104,97,97,108,81,85,99,,Vinny Testaverde,TestVi00
1991,28,TAM,QB,13,12,83,81,79,78,78,83,85,85,76,,Vinny Testaverde,TestVi00
1992,29,TAM,QB,14,14,106,100,99,96,100,103,86,89,97,,Vinny Testaverde,TestVi00
1993,30,CLE,QB,10,6,120,118,117,116,96,130,92,99,112,,Vinny Testaverde,TestVi00
1994,31,CLE,QB,14,13,102,110,92,98,90,106,74,121,90,,Vinny Testaverde,TestVi00
1995,32,CLE,QB,13,12,115,121,115,119,112,105,110,113,114,,Vinny Testaverde,TestVi00
1996,33,BAL,QB,16,16,122,121,118,117,107,127,95,105,116,PB,Vinny Testaverde,TestVi00
1997,34,BAL,QB,13,13,92,100,95,99,103,98,101,118,98,,Vinny Testaverde,TestVi00
1998,35,NYJ,QB,14,13,117,123,126,129,120,129,122,117,129,"PB,AP OPoY-7,AP CPoY-3",Vinny Testaverde,TestVi00
2000,37,NYJ,QB,16,16,92,104,88,96,90,96,85,130,88,AP CPoY-7,Vinny Testaverde,TestVi00
2001,38,NYJ,QB,16,16,90,98,92,97,100,93,100,117,95,,Vinny Testaverde,TestVi00
2002,39,NYJ,QB,5,4,85,76,85,80,121,95,93,77,99,,Vinny Testaverde,TestVi00
2003,40,NYJ,QB,7,7,104,111,113,118,109,93,137,123,113,,Vinny Testaverde,TestVi00
2004,41,DAL,QB,16,15,105,106,97,99,102,92,85,101,95,,Vinny Testaverde,TestVi00
2005,42,NYJ,QB,6,4,107,95,84,78,90,63,57,78,72,,Vinny Testaverde,TestVi00
2007,44,CAR,QB,7,6,72,81,76,81,78,87,93,108,78,,Vinny Testaverde,TestVi00
