Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1987,24,TAM,QB,6,4,0-4-0,71,165,43.0,1081,5,3.0,6,3.6,54,35.5,40,6.6,5.52,15.2,180.2,60.2,,18,140,9.84,5.14,4.21,0,0,4,,Vinny Testaverde,TestVi00
1988,25,TAM,QB,15,15,5-10-0,222,466,47.6,3240,13,2.8,35,7.5,156,39.1,59,7.0,4.13,14.6,216.0,48.8,,33,292,6.61,5.91,3.27,2,3,6,,Vinny Testaverde,TestVi00
1989,26,TAM,QB,14,14,5-9-0,258,480,53.8,3133,20,4.2,22,4.6,152,39.6,78,6.5,5.30,12.1,223.8,68.9,,38,294,7.34,5.48,4.34,2,2,9,,Vinny Testaverde,TestVi00
1990,27,TAM,QB,14,13,6-7-0,203,365,55.6,2818,17,4.7,18,4.9,126,41.4,89,7.7,6.43,13.9,201.3,75.6,,38,330,9.43,6.17,5.01,3,3,9,,Vinny Testaverde,TestVi00
1991,28,TAM,QB,13,12,3-9-0,166,326,50.9,1994,8,2.5,15,4.6,101,36.0,87,6.1,4.54,12.0,153.4,59.0,,35,234,9.70,4.88,3.45,0,0,4,,Vinny Testaverde,TestVi00
1992,29,TAM,QB,14,14,5-9-0,206,358,57.5,2554,14,3.9,16,4.5,123,41.2,81,7.1,5.91,12.4,182.4,74.2,,35,259,8.91,5.84,4.72,1,1,9,,Vinny Testaverde,TestVi00
1993,30,CLE,QB,10,6,3-3-0,130,230,56.5,1797,14,6.1,9,3.9,85,41.7,62,7.8,7.27,13.8,179.7,85.7,,17,101,6.88,6.87,6.36,1,1,7,,Vinny Testaverde,TestVi00
1994,31,CLE,QB,14,13,9-4-0,207,376,55.1,2575,16,4.3,18,4.8,125,41.8,81,6.8,5.55,12.4,183.9,70.7,,12,83,3.09,6.42,5.16,0,1,9,,Vinny Testaverde,TestVi00
1995,32,CLE,QB,13,12,4-8-0,241,392,61.5,2883,17,4.3,10,2.6,146,48.4,70,7.4,7.07,12.0,221.8,87.8,,17,87,4.16,6.84,6.57,0,1,9,,Vinny Testaverde,TestVi00
1996,33,BAL,QB,16,16,4-12-0,325,549,59.2,4177,33,6.0,19,3.5,200,47.7,86,7.6,7.25,12.9,261.1,88.7,,34,270,5.83,6.70,6.37,2,3,16,PB,Vinny Testaverde,TestVi00
1997,34,BAL,QB,13,13,4-8-1,271,470,57.7,2971,18,3.8,15,3.2,139,43.5,54,6.3,5.65,11.0,228.5,75.9,,20,129,4.08,5.80,5.16,1,1,8,,Vinny Testaverde,TestVi00
1998,35,NYJ,QB,14,13,12-1-0,259,421,61.5,3256,29,6.9,7,1.7,170,49.8,82,7.7,8.36,12.6,232.6,101.6,,19,140,4.32,7.08,7.68,3,3,14,"PB,AP OPoY-7,AP CPoY-3",Vinny Testaverde,TestVi00
1999,36,NYJ,QB,1,1,0-1-0,10,15,66.7,96,1,6.7,1,6.7,6,46.7,27,6.4,4.73,9.6,96.0,78.7,,0,0,0.00,6.40,4.73,0,0,0,,Vinny Testaverde,TestVi00
2000,37,NYJ,QB,16,16,9-7-0,328,590,55.6,3732,21,3.6,25,4.2,178,43.6,63,6.3,5.13,11.4,233.3,69.0,,13,71,2.16,6.07,4.90,4,4,9,AP CPoY-7,Vinny Testaverde,TestVi00
2001,38,NYJ,QB,16,16,10-6-0,260,441,59.0,2752,15,3.4,14,3.2,147,42.0,40,6.2,5.49,10.6,172.0,75.3,,18,122,3.92,5.73,5.01,5,5,10,,Vinny Testaverde,TestVi00
2002,39,NYJ,QB,5,4,1-3-0,54,83,65.1,499,3,3.6,3,3.6,23,46.7,35,6.0,5.11,9.2,99.8,78.3,,9,62,9.78,4.75,3.93,1,0,2,,Vinny Testaverde,TestVi00
2003,40,NYJ,QB,7,7,2-5-0,123,198,62.1,1385,7,3.5,2,1.0,65,39.7,61,7.0,7.25,11.3,197.9,90.6,,6,48,2.94,6.55,6.80,1,1,5,,Vinny Testaverde,TestVi00
2004,41,DAL,QB,16,15,5-10-0,297,495,60.0,3532,17,3.4,20,4.0,163,45.7,53,7.1,6.00,11.9,220.8,76.4,,34,182,6.43,6.33,5.27,2,3,9,,Vinny Testaverde,TestVi00
2005,42,NYJ,QB,6,4,1-3-0,60,106,56.6,777,1,0.9,6,5.7,35,39.0,47,7.3,4.97,13.0,129.5,59.4,,12,102,10.17,5.72,3.60,0,0,2,,Vinny Testaverde,TestVi00
2006,43,NWE,QB,3,0,,2,3,66.7,29,1,33.3,0,0.0,2,66.7,23,9.7,16.33,14.5,9.7,137.5,99.9,0,0,0.00,9.67,16.33,0,0,0,,Vinny Testaverde,TestVi00
2007,44,CAR,QB,7,6,2-4-0,94,172,54.7,952,5,2.9,6,3.5,47,38.1,65,5.5,4.55,10.1,136.0,65.8,31.0,9,46,4.97,5.01,4.07,1,1,0,,Vinny Testaverde,TestVi00
