Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1987,24,TAM,QB,6,4,13,50,1,4,46.2,17,3.8,8.3,2.2,0,0,0,,0,0,,,0.0,0.0,,,13,3.8,50,1,7,,Vinny Testaverde,TestVi00
1988,25,TAM,QB,15,15,28,138,1,9,42.9,24,4.9,9.2,1.9,0,0,0,,0,0,,,0.0,0.0,,,28,4.9,138,1,8,,Vinny Testaverde,TestVi00
1989,26,TAM,QB,14,14,25,139,0,8,44.0,16,5.6,9.9,1.8,0,0,0,,0,0,,,0.0,0.0,,,25,5.6,139,0,4,,Vinny Testaverde,TestVi00
1990,27,TAM,QB,14,13,38,280,1,11,52.6,48,7.4,20.0,2.7,1,1,3,3.0,0,0,0.0,3,0.1,0.2,100.0,3.0,39,7.3,283,1,10,,Vinny Testaverde,TestVi00
1991,28,TAM,QB,13,12,32,101,0,2,25.0,19,3.2,7.8,2.5,0,0,0,,0,0,,,0.0,0.0,,,32,3.2,101,0,5,,Vinny Testaverde,TestVi00
1992,29,TAM,QB,14,14,36,197,2,11,44.4,18,5.5,14.1,2.6,0,0,0,,0,0,,,0.0,0.0,,,36,5.5,197,2,4,,Vinny Testaverde,TestVi00
1993,30,CLE,QB,10,6,18,74,0,5,38.9,14,4.1,7.4,1.8,0,0,0,,0,0,,,0.0,0.0,,,18,4.1,74,0,4,,Vinny Testaverde,TestVi00
1994,31,CLE,QB,14,13,21,37,2,5,38.1,12,1.8,2.6,1.5,0,0,0,,0,0,,,0.0,0.0,,,21,1.8,37,2,3,,Vinny Testaverde,TestVi00
1995,32,CLE,QB,13,12,18,62,2,7,55.6,14,3.4,4.8,1.4,1,1,7,7.0,0,1,100.0,7,0.1,0.5,100.0,7.0,19,3.6,69,2,4,,Vinny Testaverde,TestVi00
1996,33,BAL,QB,16,16,34,188,2,13,41.2,22,5.5,11.8,2.1,0,0,0,,0,0,,,0.0,0.0,,,34,5.5,188,2,9,PB,Vinny Testaverde,TestVi00
1997,34,BAL,QB,13,13,34,138,0,12,38.2,16,4.1,10.6,2.6,1,1,-4,-4.0,0,0,0.0,-4,0.1,-0.3,100.0,-4.0,35,3.8,134,0,11,,Vinny Testaverde,TestVi00
1998,35,NYJ,QB,14,13,24,104,1,8,37.5,25,4.3,7.4,1.7,0,0,0,,0,0,,,0.0,0.0,,,24,4.3,104,1,7,"PB,AP OPoY-7,AP CPoY-3",Vinny Testaverde,TestVi00
2000,37,NYJ,QB,16,16,25,32,0,3,12.0,15,1.3,2.0,1.6,0,0,0,,0,0,,,0.0,0.0,,,25,1.3,32,0,7,AP CPoY-7,Vinny Testaverde,TestVi00
2001,38,NYJ,QB,16,16,31,25,0,3,9.7,12,0.8,1.6,1.9,0,0,0,,0,0,,,0.0,0.0,,,31,0.8,25,0,12,,Vinny Testaverde,TestVi00
2002,39,NYJ,QB,5,4,2,23,0,0,50.0,24,11.5,4.6,0.4,0,0,0,,0,0,,,0.0,0.0,,,2,11.5,23,0,2,,Vinny Testaverde,TestVi00
2003,40,NYJ,QB,7,7,6,17,0,1,33.3,13,2.8,2.4,0.9,0,0,0,,0,0,,,0.0,0.0,,,6,2.8,17,0,1,,Vinny Testaverde,TestVi00
2004,41,DAL,QB,16,15,21,38,1,2,23.8,10,1.8,2.4,1.3,0,0,0,,0,0,,,0.0,0.0,,,21,1.8,38,1,8,,Vinny Testaverde,TestVi00
2005,42,NYJ,QB,6,4,7,4,2,2,28.6,2,0.6,0.7,1.2,0,0,0,,0,0,,,0.0,0.0,,,7,0.6,4,2,8,,Vinny Testaverde,TestVi00
2006,43,NWE,QB,3,0,8,-8,0,0,0.0,-1,-1.0,-2.7,2.7,0,0,0,,0,0,,,0.0,0.0,,,8,-1.0,-8,0,0,,Vinny Testaverde,TestVi00
2007,44,CAR,QB,7,6,9,22,0,1,33.3,16,2.4,3.1,1.3,0,0,0,,0,0,,,0.0,0.0,,,9,2.4,22,0,3,,Vinny Testaverde,TestVi00
