Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
1984,28,HOU,QB,16,16,106,101,106,103,105,83,114,93,102,,Warren Moon,MoonWa00
1985,29,HOU,QB,14,14,103,94,96,91,91,98,87,83,92,,Warren Moon,MoonWa00
1986,30,HOU,QB,15,15,103,102,90,90,90,83,82,100,84,,Warren Moon,MoonWa00
1987,31,HOU,QB,12,12,114,115,107,108,84,117,87,106,100,,Warren Moon,MoonWa00
1988,32,HOU,QB,11,11,119,125,123,128,98,118,116,120,117,"PB,AP MVP-5",Warren Moon,MoonWa00
1989,33,HOU,QB,16,16,117,114,117,116,117,111,110,100,118,PB,Warren Moon,MoonWa00
1990,34,HOU,QB,15,15,123,122,128,127,121,119,120,108,129,"PB,AP-2,AP MVP-3,AP OPoY-1",Warren Moon,MoonWa00
1991,35,HOU,QB,16,16,105,114,105,110,117,96,106,124,107,PB,Warren Moon,MoonWa00
1992,36,HOU,QB,11,10,109,114,111,114,123,118,101,116,118,PB,Warren Moon,MoonWa00
1993,37,HOU,QB,15,14,99,101,96,97,101,104,90,104,98,"PB,AP MVP-6",Warren Moon,MoonWa00
1994,38,MIN,QB,15,15,107,109,102,104,111,90,99,111,102,PB,Warren Moon,MoonWa00
1995,39,MIN,QB,16,16,106,105,115,113,114,120,115,102,119,PB,Warren Moon,MoonWa00
1996,40,MIN,QB,8,8,95,94,90,90,88,86,92,97,87,,Warren Moon,MoonWa00
1997,41,SEA,QB,15,14,104,108,106,108,109,108,103,110,108,PB,Warren Moon,MoonWa00
1998,42,SEA,QB,10,10,92,91,96,95,98,102,102,96,99,,Warren Moon,MoonWa00
