Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1984,28,HOU,QB,16,16,3-13-0,259,450,57.6,3338,12,2.7,14,3.1,153,45.3,76,7.4,6.55,12.9,208.6,76.9,47,371,9.46,5.97,5.19,1,2,10,,Warren Moon,MoonWa00
1985,29,HOU,QB,14,14,4-10-0,200,377,53.1,2709,15,4.0,19,5.0,113,38.8,80,7.2,5.71,13.5,193.5,68.5,46,366,10.87,5.54,4.23,2,3,8,,Warren Moon,MoonWa00
1986,30,HOU,QB,15,15,5-10-0,256,488,52.5,3489,13,2.7,26,5.3,159,39.9,81,7.1,5.28,13.6,232.6,62.3,41,332,7.75,5.97,4.25,0,0,9,,Warren Moon,MoonWa00
1987,31,HOU,QB,12,12,7-5-0,184,368,50.0,2806,21,5.7,18,4.9,121,39.4,83,7.6,6.57,15.3,233.8,74.2,25,198,6.36,6.64,5.64,3,3,10,,Warren Moon,MoonWa00
1988,32,HOU,QB,11,11,7-4-0,160,294,54.4,2327,17,5.8,8,2.7,110,46.4,57,7.9,7.85,14.5,211.5,88.4,12,120,3.92,7.21,7.15,1,1,11,"PB,AP MVP-5",Warren Moon,MoonWa00
1989,33,HOU,QB,16,16,9-7-0,280,464,60.3,3631,23,5.0,14,3.0,176,48.5,55,7.8,7.46,13.0,226.9,88.9,35,267,7.01,6.74,6.40,2,3,13,PB,Warren Moon,MoonWa00
1990,34,HOU,QB,15,15,8-7-0,362,584,62.0,4689,33,5.7,13,2.2,232,51.3,87,8.0,8.16,13.0,312.6,96.8,36,252,5.81,7.16,7.28,1,1,18,"PB,AP-2,AP MVP-3,AP OPoY-1",Warren Moon,MoonWa00
1991,35,HOU,QB,16,16,11-5-0,404,655,61.7,4690,23,3.5,21,3.2,230,51.5,61,7.2,6.42,11.6,293.1,81.7,23,174,3.39,6.66,5.95,4,5,15,PB,Warren Moon,MoonWa00
1992,36,HOU,QB,11,10,6-4-0,224,346,64.7,2521,18,5.2,12,3.5,132,51.9,72,7.3,6.77,11.3,229.2,89.3,16,105,4.42,6.67,6.18,2,2,11,PB,Warren Moon,MoonWa00
1993,37,HOU,QB,15,14,10-4-0,303,520,58.3,3485,21,4.0,21,4.0,178,48.2,80,6.7,5.69,11.5,232.3,75.2,34,218,6.14,5.90,4.95,1,1,12,"PB,AP MVP-6",Warren Moon,MoonWa00
1994,38,MIN,QB,15,15,9-6-0,371,601,61.7,4264,18,3.0,19,3.2,201,48.1,65,7.1,6.27,11.5,284.3,79.9,29,235,4.60,6.40,5.61,4,5,11,PB,Warren Moon,MoonWa00
1995,39,MIN,QB,16,16,8-8-0,377,606,62.2,4228,33,5.4,14,2.3,213,48.1,85,7.0,7.03,11.2,264.3,91.5,38,277,5.90,6.14,6.18,0,3,13,PB,Warren Moon,MoonWa00
1996,40,MIN,QB,8,8,4-4-0,134,247,54.3,1610,7,2.8,9,3.6,74,39.8,54,6.5,5.45,12.0,201.3,68.7,19,122,7.14,5.59,4.60,1,2,4,,Warren Moon,MoonWa00
1997,41,SEA,QB,15,14,7-7-0,313,528,59.3,3678,25,4.7,16,3.0,179,44.8,60,7.0,6.55,11.8,245.2,83.7,30,192,5.38,6.25,5.85,3,4,12,PB,Warren Moon,MoonWa00
1998,42,SEA,QB,10,10,4-6-0,145,258,56.2,1632,11,4.3,8,3.1,79,39.6,45,6.3,5.78,11.3,163.2,76.6,22,140,7.86,5.33,4.83,0,0,5,,Warren Moon,MoonWa00
1999,43,KAN,QB,1,0,,1,3,33.3,20,0,0.0,0,0.0,1,33.3,20,6.7,6.67,20.0,20.0,57.6,0,0,0.00,6.67,6.67,0,0,0,,Warren Moon,MoonWa00
2000,44,KAN,QB,2,1,0-1-0,15,34,44.1,208,1,2.9,1,2.9,9,33.3,41,6.1,5.38,13.9,104.0,61.9,5,46,12.82,4.15,3.51,0,0,1,,Warren Moon,MoonWa00
