Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,av,awards,Player,PlayerID
2014,23,PIT,NFL,G,1,0,0,0,0,0,,0,0,0,0,0,0.0,,,,,,0,0,,Chris Hubbard,HubbCh00
2015,24,PIT,NFL,G,7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,0,1,,Chris Hubbard,HubbCh00
2016,25,PIT,NFL,T,15,4,0,0,0,0,0.0,0,1,0,-7,0,0.0,0.0,0.0,0.0,,,0,3,,Chris Hubbard,HubbCh00
2017,26,PIT,NFL,RT,16,10,0,0,0,0,0.0,0,3,0,-20,0,0.0,0.0,0.0,0.0,,,0,5,,Chris Hubbard,HubbCh00
2018,27,CLE,NFL,RT,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,,Chris Hubbard,HubbCh00
2019,28,CLE,NFL,RT,14,13,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,,Chris Hubbard,HubbCh00
2020,29,CLE,NFL,RG,11,5,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,,Chris Hubbard,HubbCh00
2021,30,CLE,NFL,T,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,Chris Hubbard,HubbCh00
2022,31,CLE,NFL,T,4,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,Chris Hubbard,HubbCh00
2023,32,TEN,NFL,OL,9,9,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,,Chris Hubbard,HubbCh00
2024,33,NYG,NFL,OT,8,3,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,Chris Hubbard,HubbCh00
