Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
1997,23,CIN,RB,16,6,233,1129,10,57,48.5,75,4.8,70.6,14.6,33,27,259,9.6,0,8,66.7,28,1.7,16.2,81.8,7.8,260,5.3,1388,10,1,12,AP ORoY-2,Corey Dillon,DillCo00
1998,24,CIN,RB,15,15,262,1130,4,56,44.3,66,4.3,75.3,17.5,43,28,178,6.4,1,4,32.6,41,1.9,11.9,65.1,4.1,290,4.5,1308,5,2,9,,Corey Dillon,DillCo00
1999,25,CIN,RB,15,15,263,1200,5,64,43.0,50,4.6,80.0,17.5,49,31,290,9.4,1,13,42.9,23,2.1,19.3,63.3,5.9,294,5.1,1490,6,3,10,PB,Corey Dillon,DillCo00
2000,26,CIN,RB,16,16,315,1435,7,71,44.8,80,4.6,89.7,19.7,26,18,158,8.8,0,5,42.3,31,1.1,9.9,69.2,6.1,333,4.8,1593,7,4,8,PB,Corey Dillon,DillCo00
2001,27,CIN,RB,16,16,340,1315,10,69,40.9,96,3.9,82.2,21.3,61,34,228,6.7,3,13,32.8,17,2.1,14.3,55.7,3.7,374,4.1,1543,13,5,8,PB,Corey Dillon,DillCo00
2002,28,CIN,RB,16,16,314,1311,7,72,50.6,67,4.2,81.9,19.6,61,43,298,6.9,0,18,39.3,19,2.7,18.6,70.5,4.9,357,4.5,1609,7,5,10,,Corey Dillon,DillCo00
2003,29,CIN,RB,13,11,138,541,2,27,42.0,39,3.9,41.6,10.6,18,11,71,6.5,0,4,38.9,14,0.8,5.5,61.1,3.9,149,4.1,612,2,0,5,,Corey Dillon,DillCo00
2004,30,NWE,RB,15,14,345,1635,12,84,53.0,44,4.7,109.0,23.0,21,15,103,6.9,1,3,52.4,20,1.0,6.9,71.4,4.9,360,4.8,1738,13,5,15,"PB,AP CPoY-5",Corey Dillon,DillCo00
2005,31,NWE,RB,12,10,209,733,12,51,47.4,29,3.5,61.1,17.4,26,22,181,8.2,1,8,57.7,25,1.8,15.1,84.6,7.0,231,4.0,914,13,1,6,,Corey Dillon,DillCo00
2006,32,NWE,RB,16,13,199,812,13,49,49.2,50,4.1,50.8,12.4,16,15,147,9.8,0,5,62.5,52,0.9,9.2,93.8,9.2,214,4.5,959,13,2,8,,Corey Dillon,DillCo00
